TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
ABCWM,Abercwmboi,1995-01-01,302700.0,200200.0,O,5,78128,False,2,101045,ABCWM,Abercwmboi
ABDARE,Aberdare,1995-01-01,300400.0,202800.0,T,5,78100,False,4,101026,ABDARE,Aberdare
ABDO,Aberdour,1995-01-01,319100.0,685400.0,O,9,3295,False,4,101248,ABDO,Aberdour
ABDVY,Aberdovey,1995-01-01,260600.0,296000.0,O,5,64409,False,4,100557,ABDVY,Aberdovey
ABER,Aber,1995-01-01,314870.0,186950.0,T,5,78371,False,4,101180,ABER,Aber
ABGLELE,Abergele & Pensarn,1995-01-01,294612.0,378681.0,O,6,40073,False,4,100954,ABGLELE,Abergele & Pensarn
ABHLJN,Abbeyhill Jn,1995-01-01,327800.0,673900.0,O,9,4309,False,2,101341,ABHLJN,Abbeyhill Jn
ABINCE,Abington C.E.,1995-01-01,293480.0,623400.0,O,9,7947,False,2,100939,ABINCE,Abington C.E.
ABINDPL,Abington D.P.L.,1995-01-01,293490.0,623400.0,O,9,7971,False,2,100940,ABINDPL,Abington D.P.L.
ABINDS,Abington Down Sidings,2002-01-08,231432.0,523153.0,O,9,7948,False,2,100218,ABINDS,Abington Down Sidings
ABINGTN,Abington,1995-01-01,293500.0,623400.0,O,9,7972,False,2,100941,ABINGTN,Abington
ABINUPL,Abington U.P.L.,1995-01-01,293510.0,623400.0,O,9,7970,False,2,100942,ABINUPL,Abington U.P.L.
ABRCYNS,Abercynon,1995-01-01,308166.0,194686.0,O,5,78204,False,4,101089,ABRCYNS,Abercynon
ABRD75,Aberdeen Signal A75,1996-01-01,394100.0,805795.0,O,9,2078,False,2,102537,ABRD75,Aberdeen Signal A75
ABRD77,Aberdeen Signal A77,1996-01-01,394095.0,805795.0,O,9,2079,False,2,102535,ABRD77,Aberdeen Signal A77
ABRDCH,Aberdeen Clayhills Car.M.D,1995-01-01,393332.0,804594.0,O,9,2075,False,2,102520,ABRDCH,Aberdeen Clayhills Car.M.D
ABRDEEN,Aberdeen,1995-01-01,394127.0,805872.0,T,9,2071,False,4,102538,ABRDEEN,Aberdeen
ABRDFDS,Aberdeen Ferryhill Dn Sdgs,2004-12-12,421537.0,456534.0,O,9,2083,False,2,102935,ABRDFDS,Aberdeen Ferryhill Dn Sdgs
ABRDFGL,Aberdeen Ferryhill GL,1995-01-01,393340.0,804594.0,O,9,2084,False,2,102521,ABRDFGL,Aberdeen Ferryhill GL
ABRDFJN,Aberdeen Ferryhill Jn,1996-01-01,393332.0,804550.0,O,9,2082,False,2,102519,ABRDFJN,Aberdeen Ferryhill Jn
ABRDNS,Aberdeen North Siding,2004-12-12,563474.0,352341.0,O,9,2067,False,2,105555,ABRDNS,Aberdeen North Siding
ABRDWAT,Aberdeen Waterloo,1995-01-01,394300.0,809700.0,O,9,2061,False,2,102547,ABRDWAT,Aberdeen Waterloo
ABRE,Abererch,1995-01-01,240400.0,336100.0,O,5,64506,False,4,100310,ABRE,Abererch
ABRGPGN,Penpergwn,2004-12-12,543623.0,423142.0,O,5,76248,False,2,105290,ABRGPGN,Penpergwn
ABRGVNY,Abergavenny,1995-01-01,330500.0,213600.0,T,5,76251,False,4,101416,ABRGVNY,Abergavenny
ABRPGWM,Aberpergwm,1995-01-01,286500.0,205800.0,O,5,79519,False,2,100875,ABRPGWM,Aberpergwm
ABRYRRL,Aberystwyth Run Round Loop,2004-12-12,457647.0,764356.0,O,5,64609,False,2,103710,ABRYRRL,Aberystwyth Run Round Loop
ABRYSHE,Aberystwyth Shell Sdgs,1995-01-01,258500.0,281900.0,O,5,64608,False,2,100511,ABRYSHE,Aberystwyth Shell Sdgs
ABRYSNS,Aberystwyth Stn Sdgs,1995-01-01,258500.0,281700.0,O,5,0,False,2,100510,ABRYSNS,Aberystwyth Stn Sdgs
ABRYSTH,Aberystwyth,1995-01-01,258500.0,281600.0,T,5,64607,False,4,100509,ABRYSTH,Aberystwyth
ABTH,Aberthaw,1995-01-01,302904.0,167094.0,O,5,78903,False,2,101049,ABTH,Aberthaw
ABTH222,Aberthaw Signal AW222,2005-12-06,564453.0,452335.0,O,5,78916,False,2,105566,ABTH222,Aberthaw Signal AW222
ABTH231,Aberthaw Signal AW231,2005-12-06,453346.0,351413.0,O,5,78919,False,2,103587,ABTH231,Aberthaw Signal AW231
ABTHA13,Aberthaw Signal A13,1995-01-01,302720.0,166450.0,T,5,78904,False,2,101046,ABTH*,Aberthaw *
ABTHA39,Aberthaw Signal A39,1995-01-01,302721.0,166451.0,T,5,78900,False,2,101047,ABTHA39,Aberthaw Signal A39
ABTHOSD,Aberthaw N.P.Oil Sdg,1995-01-01,302675.0,166483.0,O,5,78904,False,2,101042,ABTHOSD,Aberthaw N.P.Oil Sdg
ABTHPS,Aberthaw Power Station,1995-01-01,302720.0,166450.0,O,5,78904,False,2,101046,ABTH*,Aberthaw *
ABTHRCP,Aberthaw Rec Sdgs,1995-01-01,302693.0,166500.0,O,5,78906,False,2,101043,ABTHRCP,Aberthaw Rec Sdgs
ABTHWCC,Aberthaw Cement Works,1995-01-01,302693.0,167676.0,O,5,78905,False,2,101044,ABTHWCC,Aberthaw Cement Works
ABTSWDJ,Abbotswood Jn,1995-01-01,388900.0,250000.0,O,5,67371,False,2,102432,ABTSWDJ,Abbotswood Jn
ABWD,Abbey Wood,1995-01-01,547374.0,179035.0,O,3,88601,False,4,105371,ABWD,Abbey Wood
ABWDXR,Abbey Wood (Crossrail),2015-12-13,547372.0,179055.0,O,3,88607,False,4,105370,ABWDXR,Abbey Wood (Crossrail)
ACBG,Acton Bridge,1995-01-01,359870.0,374560.0,O,6,37001,False,4,101971,ACBG,Acton Bridge
ACGJN,Acton Grange Jn,1995-01-01,358400.0,385200.0,O,6,35555,False,2,101949,ACGJN,Acton Grange Jn
ACGJNLX,Norton LC (Acton Grange),2004-12-12,563465.0,432543.0,O,6,35588,False,2,105553,ACGJNLX,Norton LC (Acton Grange)
ACHANLT,Achanalt,1995-01-01,226020.0,861473.0,O,9,1081,False,4,100174,ACHANLT,Achanalt
ACHHBLC,Balnacra LC,2000-09-24,200290.0,848440.0,O,9,1078,False,3,100080,ACHH*,*
ACHHSHL,Achnashellach,1995-01-01,200290.0,848440.0,O,9,1078,False,4,100080,ACHH*,*
ACHILCK,Auchinleck,1995-01-01,255000.0,622000.0,O,9,8825,False,4,100431,ACHILCK,Auchinleck
ACHNSCE,Achnasheen C.E.,1995-01-01,216400.0,858510.0,O,9,1080,False,2,100127,ACHNSCE,Achnasheen C.E.
ACHNSHN,Achnasheen,1995-01-01,216403.0,858519.0,O,9,1079,False,4,100128,ACHNSHN,Achnasheen
ACKLNGT,Acklington,1995-01-01,422200.0,601500.0,O,7,12115,False,4,102947,ACKLNGT,Acklington
ACLE,Acle,1995-01-01,639900.0,310000.0,T,3,48056,False,4,105965,ACLE,Acle
ACOCKSG,Acocks Green,1995-01-01,412400.0,283500.0,O,5,66430,False,4,102812,ACOCKSG,Acocks Green
ACRNGTN,Accrington,1995-01-01,375730.0,428575.0,O,6,29061,False,4,102195,ACRNGTN,Accrington
ACTCWHF,Acton Canal Wharf,1995-01-01,521200.0,182800.0,O,3,72235,False,2,104589,ACTCWHF,Acton Canal Wharf
ACTNCTL,Acton Central,1995-01-01,520645.0,180295.0,O,3,72252,False,4,104573,ACTNCTL,Acton Central
ACTONML,Acton Main Line,1995-01-01,520360.0,181230.0,O,4,73240,False,4,104565,ACTONML,Acton Main Line
ACTONTC,Acton T.C.,1995-01-01,518500.0,181000.0,T,4,73250,False,2,104508,ACTONTC,Acton T.C.
ACTONW,Acton West,1995-01-01,518300.0,181000.0,T,4,73251,False,2,104505,ACTONW,Acton West
ACWLJN,Acton Wells Jn,1995-01-01,521200.0,182100.0,T,3,72251,False,2,104588,*,*
ADERLYP,Adderley Park,1995-01-01,409880.0,287250.0,O,5,65614,False,4,102767,ADERLYP,Adderley Park
ADIEWEL,Addiewell,1995-01-01,299500.0,662300.0,O,9,4090,False,4,101017,ADIEWEL,Addiewell
ADISHAM,Adisham,1995-01-01,623391.0,153976.0,O,3,89514,False,4,105862,ADISHAM,Adisham
ADLC,Adlington (Cheshire),1995-01-01,391200.0,380300.0,O,6,32575,False,4,102479,ADLC,Adlington (Cheshire)
ADLESTJ,Addlestone Jn,1995-01-01,506500.0,163600.0,O,3,86010,False,2,104289,ADLESTJ,Addlestone Jn
ADLESTN,Addlestone,1995-01-01,505587.0,164866.0,O,3,86011,False,4,104278,ADLESTN,Addlestone
ADNL,Adlington (Lancashire),1995-01-01,360200.0,413135.0,O,6,30321,False,4,101981,ADNL,Adlington (Lancashire)
ADSWDRD,Adswood Road Jn,1995-01-01,388518.0,387577.0,O,6,32561,False,2,102424,ADSWDRD,Adswood Road Jn
ADWICK,Adwick,1995-01-01,454375.0,408725.0,O,7,23118,False,4,103627,ADWICK,Adwick
ADWICKJ,Adwick Jn,1995-01-01,453400.0,409500.0,T,7,23120,False,2,103591,*,*
AGCRFTJ,Agecroft Jn,1995-01-01,380500.0,401500.0,O,6,31564,False,2,102264,AGCRFTJ,Agecroft Jn
AGHTNPH,Aughton Park,1995-01-01,340790.0,406775.0,O,6,36005,False,4,101647,AGHTNPH,Aughton Park
AIGBURT,Aigburth,1995-01-01,338400.0,385700.0,O,6,36086,False,4,101601,AIGBURT,Aigburth
AINSDAL,Ainsdale,1995-01-01,331101.0,412224.0,T,6,36062,False,4,101446,AINSDAL,Ainsdale
AINTREE,Aintree,1995-01-01,336625.0,397890.0,O,6,36027,False,4,101575,AINT*,Aintree*
AINTSFJ,Aintree Sefton Jn,1995-01-01,336625.0,397890.0,O,6,36027,False,3,101575,AINT*,Aintree*
AIRBLES,Airbles,1995-01-01,275034.0,656191.0,O,9,7476,False,4,100758,AIRBLES,Airbles
AIRDCS,Airdrie Carriage Sdg.,1995-01-01,276094.0,664976.0,O,9,7326,False,2,100775,AIRDCS,Airdrie Carriage Sdg.
AIRDRIE,Airdrie,1995-01-01,276000.0,665200.0,T,9,7327,False,4,100773,AIRDRIE,Airdrie
AIRP,Airport (Newcastle),2001-09-30,418566.0,571308.0,O,7,12401,False,4,102899,AIRP,Airport (Newcastle)
AISGILL,Ais Gill,1995-01-01,377728.0,497168.0,O,6,9438,False,2,102220,AISGILL,Ais Gill
AISHXO,Aish Emergency Crossover,2004-12-12,643643.0,212314.0,O,4,84060,False,2,105976,AISHXO,Aish Emergency Crossover
ALBION,Albion Gulf Oil Depot,1995-01-01,398300.0,290900.0,O,5,65813,False,2,102589,ALBION,Albion Gulf Oil Depot
ALBNYPK,Albany Park,1995-01-01,547855.0,172860.0,O,3,88462,False,4,105380,ALBNYPK,Albany Park
ALBRGHT,Albrighton,1995-01-01,381900.0,304500.0,O,5,65033,False,4,102281,ALBRGHT,Albrighton
ALDB337,Aldersbrook Signal 337/354,1995-01-01,542782.0,185995.0,O,3,50430,False,1,105260,ALDB*,Aldersbrook *
ALDBUCS,Aldersbrook CS,1995-01-01,542782.0,185995.0,O,3,50430,False,2,105260,ALDB*,Aldersbrook *
ALDEDGE,Alderley Edge,1995-01-01,384317.0,378563.0,T,6,32581,False,4,102315,ALDEDGE,Alderley Edge
ALDMCE,Aldermaston Tip (CE),2004-12-12,654747.0,634463.0,O,4,74713,False,2,106033,ALDMCE,Aldermaston Tip (CE)
ALDMSPS,Aldermaston Padworth Sdgs,1995-01-01,460050.0,167500.0,O,4,74712,False,2,103797,ALDMSPS,Aldermaston Padworth Sdgs
ALDMSTN,Aldermaston,1995-01-01,460100.0,167345.0,O,4,74714,False,4,103798,ALDMSTN,Aldermaston
ALDRSHT,Aldershot,1995-01-01,486656.0,150424.0,T,3,87031,False,4,104062,ALDRSHT,Aldershot
ALDRSJN,Aldershot North Jn,1995-01-01,488500.0,151900.0,O,3,87037,False,2,104088,ALDRSJN,Aldershot North Jn
ALDRSJS,Aldershot South Jn,1995-01-01,489200.0,151800.0,O,3,87013,False,2,104098,ALDRSJS,Aldershot South Jn
ALDTON,Aldrington,1995-01-01,527984.0,105666.0,O,3,87985,False,4,104776,ALDTON,Aldrington
ALDW721,Roundwood Chord Sig S721,1995-01-01,444700.0,395400.0,O,7,24701,False,1,103374,ALDW*,*
ALDWNWS,Aldwarke U.E.S.,1995-01-01,439876.0,392447.0,O,7,24501,False,2,103281,ALDWNWS,Aldwarke U.E.S.
ALDWRKJ,Aldwarke Jn,1995-01-01,444700.0,395400.0,O,7,24701,False,2,103374,ALDW*,*
ALDWRML,Roundwood B.S.C. 11' Mill,1995-01-01,440780.0,391692.0,O,7,24405,False,2,103291,ALDWRML,Roundwood B.S.C. 11' Mill
ALDWRS,Aldwarke Repair Sidings,1995-01-01,440780.0,391792.0,O,7,24502,False,2,103292,ALDWRS,Aldwarke Repair Sidings
ALERTN,Liverpool South PW HL,1995-01-01,340921.0,384909.0,O,6,36192,False,4,101656,ALERTN,Liverpool South PW HL
ALERTNJ,Allerton Jn,1995-01-01,341200.0,384700.0,O,6,36195,False,2,101671,ALERTNJ,Allerton Jn
ALERTNS,Allerton Depot,1995-01-01,340900.0,385100.0,O,6,36191,False,2,101649,ALERTNS,Allerton Depot
ALEXNDP,Alexandra Palace,1995-01-01,530295.0,190460.0,T,8,54103,False,4,104876,ALEX*,Alexandra Palace*
ALEXPSS,Alexandra Palace Sand Sdg,1999-04-16,530295.0,190460.0,O,8,54103,False,3,104876,ALEX*,Alexandra Palace*
ALFRETN,Alfreton,1995-01-01,442300.0,356100.0,M,8,56127,False,4,103321,ALFRETN,Alfreton
ALLENSW,Allens West,1995-01-01,441449.0,514558.0,O,7,15702,False,4,103303,ALLENSW,Allens West
