TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
ABDO_1,ABDO,1,2021-12-12,0,False,False,101248,7,101248007,319104.2741052365,685426.7495135117,2,"POLYGON ((319174.1625 685465.964, 319157.6518 685456.2551, 319146.6605 685449.5261, 319147.1852 685448.9373, 319132.0697 685438.5676, 319131.1695 685440.0541, 319126.1498 685437.1539, 319120.9207 685434.38, 319121.8073 685432.5041, 319118.9608 685430.8766, 319109.3575 685426.0699, 319097.3769 685420.4062, 319098.6539 685417.7548, 319094.9444 685415.6203, 319094.0015 685414.1797, 319091.3006 685412.3491, 319090.2037 685411.9912, 319085.3332 685410.0679, 319083.1063 685415.2088, 319081.2835 685414.3525, 319068.8922 685409.3757, 319063.5219 685407.7068, 319060.4586 685407.141, 319029.7598 685397.3103, 319028.792 685400.1675, 319048.6143 685406.7297, 319067.8386 685413.9601, 319086.4438 685421.4026, 319114.0947 685434.4752, 319146.2601 685452.4171, 319172.7549 685468.2951, 319174.1625 685465.964))"
ABDO_2,ABDO,2,2021-12-12,0,False,False,101248,70,101248070,319125.60785491625,685450.4591813855,2,"POLYGON ((319206.8768 685498.202, 319207.6269 685496.351, 319194.5303 685488.3033, 319191.2124 685486.4508, 319184.455 685482.5701, 319167.4933 685472.402, 319149.3659 685461.5323, 319134.6494 685452.825, 319118.4764 685443.8558, 319102.0722 685435.5144, 319081.1936 685426.1106, 319063.0995 685419.0147, 319049.7444 685414.1341, 319045.4398 685412.8236, 319040.0355 685411.3335, 319039.1596 685414.445, 319043.5125 685416.3335, 319053.8413 685419.6346, 319064.3735 685423.4773, 319077.7295 685428.7365, 319078.5319 685428.9997, 319079.6236 685429.4133, 319085.8018 685432.9597, 319093.4955 685436.9228, 319116.8121 685448.7634, 319123.8346 685452.1603, 319129.2688 685454.908, 319145.8819 685464.4257, 319158.0299 685471.3778, 319174.813 685481.3265, 319188.9645 685489.1539, 319206.8768 685498.202))"
ABRDEEN_2,ABRDEEN,2,1995-01-01,0,False,True,102538,70,102538070,394212.1149298643,805742.2655995802,2,"POLYGON ((394168.718 805829.7233, 394182.286 805808.8421, 394194.3672 805789.2656, 394201.0543 805776.5877, 394206.7382 805764.8574, 394211.9673 805752.4487, 394216.6392 805739.7069, 394220.1095 805728.8704, 394224.5052 805713.4127, 394227.1754 805701.6311, 394229.193 805690.574, 394231.2437 805677.2014, 394232.7574 805660.7348, 394233.4026 805646.34, 394231.2717 805645.92, 394224.7757 805682.4538, 394220.5443 805702.8094, 394215.874 805720.9169, 394211.427 805734.3598, 394206.8215 805746.9234, 394202.0812 805758.374, 394193.5073 805776.2311, 394186.9642 805787.9849, 394177.9503 805802.7591, 394162.4487 805825.6134, 394168.718 805829.7233))"
ABRDEEN_3,ABRDEEN,3,1995-01-01,0,False,True,102538,90,102538090,394205.8330967437,805719.17906379,2,"POLYGON ((394151.23 805817.9039, 394156.8697 805821.8254, 394168.9837 805804.1079, 394176.6281 805792.3191, 394183.0874 805781.1776, 394189.406 805768.9677, 394195.0114 805757.3711, 394201.2898 805742.4451, 394206.69 805726.9191, 394212.0028 805709.5454, 394216.3954 805691.917, 394223.4795 805651.9648, 394226.153 805634.0159, 394228.3784 805607.3736, 394224.4076 805606.8338, 394219.6504 805636.2071, 394211.1831 805686.5365, 394208.8686 805697.3268, 394202.853 805718.3974, 394194.5418 805742.2321, 394190.0177 805752.4802, 394182.3188 805768.4881, 394174.8401 805781.9576, 394164.2922 805798.8491, 394151.23 805817.9039))"
ABRDEEN_4,ABRDEEN,4,1995-01-01,0,False,True,102538,104,102538104,394205.8330967437,805719.17906379,2,"POLYGON ((394151.23 805817.9039, 394156.8697 805821.8254, 394168.9837 805804.1079, 394176.6281 805792.3191, 394183.0874 805781.1776, 394189.406 805768.9677, 394195.0114 805757.3711, 394201.2898 805742.4451, 394206.69 805726.9191, 394212.0028 805709.5454, 394216.3954 805691.917, 394223.4795 805651.9648, 394226.153 805634.0159, 394228.3784 805607.3736, 394224.4076 805606.8338, 394219.6504 805636.2071, 394211.1831 805686.5365, 394208.8686 805697.3268, 394202.853 805718.3974, 394194.5418 805742.2321, 394190.0177 805752.4802, 394182.3188 805768.4881, 394174.8401 805781.9576, 394164.2922 805798.8491, 394151.23 805817.9039))"
ABRDEEN_5,ABRDEEN,5,1995-01-01,0,False,True,102538,117,102538117,394198.5202051344,805704.9083831126,2,"POLYGON ((394195.9275 805708.3105, 394200.2024 805693.109, 394203.7348 805674.8806, 394208.5606 805646.9989, 394215.7985 805600.3338, 394218.3649 805579.4239, 394221.0221 805579.6651, 394220.3399 805589.3621, 394217.2287 805610.1503, 394213.66 805632.6868, 394207.8784 805669.342, 394203.5349 805691.6571, 394201.2669 805701.0781, 394198.9304 805709.1634, 394194.5634 805723.5412, 394189.7652 805736.7508, 394184.265 805749.9614, 394176.8795 805765.1118, 394169.3228 805778.9933, 394161.0878 805792.5529, 394151.0572 805807.2173, 394142.7717 805819.1741, 394139.9001 805817.0631, 394148.2281 805805.1397, 394158.1438 805790.52, 394166.3548 805777.183, 394173.9058 805763.513, 394181.3339 805748.5073, 394186.8883 805735.1519, 394191.7354 805722.2428, 394195.9275 805708.3105))"
ABRDEEN_6,ABRDEEN,6,1995-01-01,0,False,True,102538,128,102538128,394106.5019891324,805859.1064110124,1,"POLYGON ((394136.7864 805814.8635, 394112.4319 805846.2247, 394074.0434 805901.8412, 394079.0764 805904.7504, 394115.8436 805849.4591, 394139.9001 805817.0631, 394136.7864 805814.8635))"
ABRDEEN_6N,ABRDEEN,6N,1995-01-01,0,False,True,102538,135,102538135,394106.5019891324,805859.1064110124,2,"POLYGON ((394136.7864 805814.8635, 394112.4319 805846.2247, 394074.0434 805901.8412, 394079.0764 805904.7504, 394115.8436 805849.4591, 394139.9001 805817.0631, 394136.7864 805814.8635))"
ABRDEEN_6S,ABRDEEN,6S,1995-01-01,0,False,True,102538,138,102538138,394195.68778592045,805703.7821835687,2,"POLYGON ((394215.605 805579.272, 394210.6235 805612.6422, 394202.7673 805662.7814, 394200.9139 805674.3837, 394197.7348 805689.9399, 394193.2754 805707.3347, 394188.8836 805721.245, 394184.0301 805733.8981, 394178.427 805747.0977, 394170.9019 805761.9811, 394163.2904 805775.6178, 394154.9637 805788.4652, 394145.0536 805802.7954, 394136.7864 805814.8635, 394139.9001 805817.0631, 394148.2281 805805.1397, 394158.1438 805790.52, 394166.3548 805777.183, 394173.9058 805763.513, 394181.3339 805748.5073, 394186.8883 805735.1519, 394191.7354 805722.2428, 394195.9275 805708.3105, 394200.2024 805693.109, 394203.7348 805674.8806, 394208.5606 805646.9989, 394215.7985 805600.3338, 394218.3649 805579.4239, 394215.605 805579.272))"
ABRDEEN_7,ABRDEEN,7,1995-01-01,0,False,True,102538,140,102538140,394095.2619103158,805852.3440212818,1,"POLYGON ((394123.993 805806.3437, 394131.0147 805811.766, 394111.1211 805839.5807, 394092.171 805866.8264, 394069.7075 805899.8215, 394064.3351 805896.6121, 394062.1607 805895.3017, 394083.7132 805860.1038, 394091.4953 805847.5576, 394101.3392 805833.6615, 394112.2099 805818.4058, 394123.993 805806.3437))"
