Tiploc_x,Name_x,Stanox_x,Latitude_x,Longitude_x,InBPlan_x,InTPS_x,CRS_x,Easting,Northing,index,CRS_y,InBPlan_y,InTPS_y,Latitude_y,Longitude_y,Name_y,Stanox_y,Tiploc_y
AACHEN,Aachen,5,50.767721,6.0912806,True,False,,970322.2475,127738.5801,111293,,1.0,0.0,50.767721,6.0912806,Aachen,5,AACHEN
ABCWM,Abercwmboi,78128,51.6906937,-3.4025506,True,True,,303148.0381,200035.976,101721,,1.0,1.0,51.6906937,-3.4025506,Abercwmboi,78128,ABCWM
ABDAPEN,Penywaun Bus,<NA>,51.7305369,-3.4841037,True,True,XPZ,297601.238,204578.4834,101618,XPZ,1.0,1.0,51.7305369,-3.4841037,Penywaun Bus,,ABDAPEN
ABDARE,Aberdare,78100,51.7145249,-3.441859,True,True,ABA,300483.413,202739.2392,101682,ABA,1.0,1.0,51.7145249,-3.441859,Aberdare,78100,ABDARE
ABDATRE,Trecynon,<NA>,51.721419,-3.459253,True,True,XTO,299297.1127,203529.8369,101650,XTO,1.0,1.0,51.721419,-3.459253,Trecynon,,ABDATRE
ABDO,Aberdour,3295,56.055106,-3.2998508,True,True,AUR,319145.2414,685456.5444,102049,AUR,1.0,1.0,56.055106,-3.2998508,Aberdour,3295,ABDO
ABDVY,Aberdovey,64409,52.5443487,-4.0564325,True,True,AVY,260644.2645,296042.5664,100842,AVY,1.0,1.0,52.5443487,-4.0564325,Aberdovey,64409,ABDVY
ABER,Aber,78371,51.5745683,-3.2295529,True,True,ABE,314888.3509,186905.6904,101933,ABE,1.0,1.0,51.5745683,-3.2295529,Aber,78371,ABER
ABGLELE,Abergele & Pensarn,40073,53.2949988,-3.581987,True,True,AGL,294655.3655,378727.6048,101556,AGL,1.0,1.0,53.2949988,-3.581987,Abergele & Pensarn,40073,ABGLELE
ABGNWYN,Abergynolwyn,<NA>,52.6441864,-3.956269,True,True,,267737.2631,306957.6648,100997,,1.0,1.0,52.6441864,-3.956269,Abergynolwyn,,ABGNWYN
ABHL811,Edinburgh Sig. 811,4311,55.9548684,-3.1728193,True,True,,326866.7927,674159.242,102209,,1.0,1.0,55.9548684,-3.1728193,Edinburgh Sig. 811,4311,ABHL811
ABHLJN,Abbeyhill Jn,4309,55.9547575,-3.1732808,True,True,,326837.7683,674147.3888,102208,,1.0,1.0,55.9547575,-3.1732808,Abbeyhill Jn,4309,ABHLJN
