TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality
ABDO_1,ABDO,1,2021-12-12,0,False,False,11248,7,11248007,319104.2741052365,685426.7495135117,2
ABDO_2,ABDO,2,2021-12-12,0,False,False,11248,70,11248070,319125.60785491625,685450.4591813855,2
ABRDEEN_2,ABRDEEN,2,1995-01-01,0,False,True,12538,70,12538070,394212.1149298643,805742.2655995802,2
ABRDEEN_3,ABRDEEN,3,1995-01-01,0,False,True,12538,90,12538090,394205.8330967437,805719.17906379,2
ABRDEEN_4,ABRDEEN,4,1995-01-01,0,False,True,12538,104,12538104,394205.8330967437,805719.17906379,2
ABRDEEN_5,ABRDEEN,5,1995-01-01,0,False,True,12538,117,12538117,394198.5202051344,805704.9083831126,2
ABRDEEN_6,ABRDEEN,6,1995-01-01,0,False,True,12538,128,12538128,394106.5019891324,805859.1064110124,1
ABRDEEN_6N,ABRDEEN,6N,1995-01-01,0,False,True,12538,135,12538135,394106.5019891324,805859.1064110124,2
ABRDEEN_6S,ABRDEEN,6S,1995-01-01,0,False,True,12538,138,12538138,394195.68778592045,805703.7821835687,2
ABRDEEN_7,ABRDEEN,7,1995-01-01,0,False,True,12538,140,12538140,394095.2619103158,805852.3440212818,1
ABRDEEN_7N,ABRDEEN,7N,1995-01-01,0,False,True,12538,147,12538147,394095.2619103158,805852.3440212818,2
ABRDEEN_7S,ABRDEEN,7S,1995-01-01,0,False,True,12538,149,12538149,394173.7251016728,805733.6352173407,2
ABRGVNY_1,ABRGVNY,1,2021-12-12,0,False,False,11416,7,11416007,330541.54656758666,213751.0854135978,2
ABRGVNY_2,ABRGVNY,2,2021-12-12,0,False,False,11416,70,11416070,330551.4030448302,213675.7120695003,2
ABWD_1,ABWD,1,2012-09-12,0,False,True,15371,7,15371007,547233.9310114048,179014.60524981446,2
