date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2022-12-26,ACG,SMA,7,1,-18.0,,,,,,,,,,,,,,4.42
2022-12-26,ACG,TYS,7,5,,,,,,,,,,,,,,,4.42
2022-12-26,ADD,BHM,22,15,14.0,,,,,,,,,,,,,,11.0
2022-12-26,ADD,LEH,20,8,5.0,,,,,,,,,,,,,,10.0
2022-12-26,ADD,LEH,22,12,6.0,,,,,,,,,,,,,,4.42
2022-12-26,ADD,MGN,20,26,24.0,35.0,,,,,,,,,,,,,4.42
2022-12-26,ADD,SCF,20,3,6.0,,,,,,,,,,,,,,44.0
2022-12-26,ADD,SCF,21,9,11.0,,,,,,,,,,,,,,62.0
2022-12-26,ADD,SCF,22,10,12.0,,,,,,,,,,,,,,19.0
2022-12-26,ALB,WLN,6,0,13.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,APS,9,51,-4.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,APS,13,45,-2.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,APS,14,28,,,,,,,,,,,,,,,4.42
2022-12-26,APS,BKM,8,6,9.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,BKM,9,5,13.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,BKM,10,15,0.0,6.0,,,,,,,,,,,,,20.0
2022-12-26,APS,BKM,11,10,11.0,,,,,,,,,,,,,,42.0
2022-12-26,APS,BKM,12,11,3.0,,,,,,,,,,,,,,11.0
2022-12-26,APS,BKM,13,11,-2.0,,,,,,,,,,,,,,20.0
2022-12-26,APS,BKM,14,16,9.0,,,,,,,,,,,,,,26.0
2022-12-26,APS,BSH,9,15,16.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,BSH,10,27,-5.0,18.0,,,,,,,,,,,,,4.42
2022-12-26,APS,BSH,11,11,0.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,BSH,12,21,18.0,,,,,,,,,,,,,,21.0
2022-12-26,APS,BSH,13,20,11.0,,,,,,,,,,,,,,18.0
2022-12-26,APS,BSH,14,21,2.0,2.0,,,,,,,,,,,,,25.0
2022-12-26,APS,BSH,15,14,5.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,BSH,16,22,1.0,,,,,,,,,,,,,,10.0
2022-12-26,APS,CED,11,24,9.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,CED,13,27,7.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HML,9,15,5.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HML,10,58,12.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HML,11,22,1.0,,,,,,,,,,,,,,20.0
2022-12-26,APS,HML,13,1,-13.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HML,14,2,3.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,4,15,-4.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,9,19,8.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,10,49,,31.0,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,11,51,1.0,16.0,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,12,27,7.0,,,,,,,,,,,,,,10.0
2022-12-26,APS,HRW,14,20,,,,,,,,,,,,,,,4.42
2022-12-26,APS,HRW,15,11,1.0,,,,,,,,,,,,,,10.0
2022-12-26,APS,HRW,16,21,15.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,KGL,10,3,6.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,KGL,11,9,12.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,KGL,13,4,5.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,KGL,16,4,2.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,LBZ,12,34,25.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,MKC,14,37,17.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,TRI,9,29,,,,,,,,,,,,,,,4.42
2022-12-26,APS,TRI,12,13,14.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,TRI,13,27,0.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,TRI,14,27,17.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,WFJ,8,5,-7.0,,,,,,,,,,,,,,12.0
2022-12-26,APS,WFJ,9,18,2.0,3.0,,,,,,,,,,,,,28.0
2022-12-26,APS,WFJ,10,20,5.0,,,,,,,,,,,,,,82.0
2022-12-26,APS,WFJ,11,20,10.0,,,,,,,,,,,,,,29.0
2022-12-26,APS,WFJ,12,13,-1.0,,,,,,,,,,,,,,23.0
2022-12-26,APS,WFJ,13,17,18.0,,,,,,,,,,,,,,24.0
2022-12-26,APS,WFJ,14,29,5.0,,,,,,,,,,,,,,20.0
2022-12-26,APS,WFJ,15,8,5.0,,,,,,,,,,,,,,4.42
2022-12-26,APS,WFJ,16,15,-4.0,,,,,,,,,,,,,,4.42
2022-12-26,BBK,CSL,6,4,-8.0,,,,,,,,,,,,,,4.42
2022-12-26,BHI,BHI,21,13,10.0,,,,,,,,,,,,,,4.42
2022-12-26,BHI,BHM,21,10,-4.0,,,,,,,,,,,,,,4.42
2022-12-26,BHI,BHM,22,50,,,,,,,,,,,,,,,4.42
