date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2023-01-06,AAP,AAP,7,88,11.0,9.0,,,,,,,,,,,,,10.0
2023-01-06,AAP,AAP,9,16,,,,,,,,,,,,,,,4.42
2023-01-06,AAP,AAP,12,84,2.0,31.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,AAP,13,23,12.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,BOP,10,7,2.0,,,,,,,,,,,,,,12.0
2023-01-06,AAP,BOP,12,2,-4.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,BOP,13,6,28.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,BOP,15,8,11.0,4.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,BOP,16,16,-2.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,CIR,7,2,22.0,7.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,CLJ,16,31,-15.0,-22.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,CUF,8,36,14.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,CUF,9,49,-3.0,30.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,CUF,14,42,6.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,CUF,16,24,0.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,ECR,12,54,-18.0,-23.0,,,,,,,,,,,,,4.42
2023-01-06,AAP,ENC,8,29,14.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,ENC,9,10,6.0,,,,,,,,,,,,,,4.42
2023-01-06,AAP,ENC,14,24,9.0,,,,,,,,,,,,,,4.42
