TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
ABRDEEN_2,ABRDEEN,2,1995-01-01,0,False,True,104327,70,104327070,394212.3553691087,805742.2085455136,2,"POLYGON ((394167.0222 805828.7572, 394183.7497 805804.0977, 394195.1862 805786.4146, 394200.8426 805776.6882, 394206.7382 805764.8574, 394211.9673 805752.4487, 394217.6754 805736.4771, 394220.1095 805728.8704, 394224.3239 805713.6022, 394227.1754 805701.6311, 394229.193 805690.574, 394230.692 805680.7978, 394231.2437 805677.2014, 394232.7574 805660.7348, 394233.4026 805646.34, 394231.2717 805645.92, 394225.0204 805680.0489, 394223.4786 805689.5023, 394221.4609 805700.5037, 394218.6145 805711.8069, 394214.4059 805726.897, 394211.8873 805734.6374, 394206.1783 805749.9634, 394200.7017 805762.7955, 394195.4402 805773.6568, 394189.6324 805783.3501, 394184.4834 805792.4525, 394179.0551 805800.9318, 394162.3216 805825.5914, 394167.0222 805828.7572))"
ABRDEEN_3,ABRDEEN,3,1995-01-01,0,False,True,104327,90,104327090,394205.88121181447,805719.1957326469,2,"POLYGON ((394151.23 805817.9039, 394156.8697 805821.8254, 394170.0406 805802.6258, 394180.4362 805784.9998, 394188.1318 805770.8732, 394195.8556 805755.2548, 394200.3367 805744.5615, 394208.9132 805720.0252, 394212.0028 805709.5454, 394216.3954 805691.917, 394218.7307 805678.7554, 394223.4795 805651.9648, 394226.153 805634.0159, 394228.3784 805607.3736, 394224.4076 805606.8338, 394219.6504 805636.2071, 394212.6713 805677.6954, 394211.1831 805686.5365, 394208.8686 805697.3268, 394202.853 805718.3974, 394194.5418 805742.2321, 394190.0177 805752.4802, 394182.3188 805768.4881, 394174.8401 805781.9576, 394164.2922 805798.8491, 394151.23 805817.9039))"
ABRDEEN_4,ABRDEEN,4,1995-01-01,0,False,True,104327,104,104327104,394205.88121181447,805719.1957326469,2,"POLYGON ((394151.23 805817.9039, 394156.8697 805821.8254, 394170.0406 805802.6258, 394180.4362 805784.9998, 394188.1318 805770.8732, 394195.8556 805755.2548, 394200.3367 805744.5615, 394208.9132 805720.0252, 394212.0028 805709.5454, 394216.3954 805691.917, 394218.7307 805678.7554, 394223.4795 805651.9648, 394226.153 805634.0159, 394228.3784 805607.3736, 394224.4076 805606.8338, 394219.6504 805636.2071, 394212.6713 805677.6954, 394211.1831 805686.5365, 394208.8686 805697.3268, 394202.853 805718.3974, 394194.5418 805742.2321, 394190.0177 805752.4802, 394182.3188 805768.4881, 394174.8401 805781.9576, 394164.2922 805798.8491, 394151.23 805817.9039))"
ABRDEEN_5,ABRDEEN,5,1995-01-01,0,False,True,104327,117,104327117,394198.5230322364,805704.8984769755,2,"POLYGON ((394195.9275 805708.3105, 394200.2024 805693.109, 394203.7348 805674.8806, 394208.5606 805646.9989, 394215.7985 805600.3338, 394218.516 805579.2679, 394221.0399 805579.4201, 394220.3399 805589.3621, 394217.2287 805610.1503, 394213.66 805632.6868, 394206.4952 805675.4444, 394206.3512 805676.2573, 394203.5349 805691.6571, 394201.2669 805701.0781, 394198.9304 805709.1634, 394194.5634 805723.5412, 394189.7652 805736.7508, 394184.265 805749.9614, 394176.8795 805765.1118, 394169.3228 805778.9933, 394161.0878 805792.5529, 394151.0572 805807.2173, 394146.0388 805814.4939, 394142.663 805819.3858, 394140.0939 805817.1742, 394148.2281 805805.1397, 394158.1438 805790.52, 394166.3548 805777.183, 394173.9058 805763.513, 394181.3339 805748.5073, 394186.8883 805735.1519, 394191.7354 805722.2428, 394195.9275 805708.3105))"
ABRDEEN_6,ABRDEEN,6,1995-01-01,0,False,True,104327,128,104327128,394195.68587305193,805703.7889881224,1,"POLYGON ((394215.6169 805579.0939, 394210.6235 805612.6422, 394202.7673 805662.7814, 394200.9139 805674.3837, 394200.7577 805675.1521, 394197.7348 805689.9399, 394193.2754 805707.3347, 394188.8836 805721.245, 394184.0301 805733.8981, 394178.427 805747.0977, 394170.7929 805761.8699, 394163.2899 805775.295, 394154.5396 805788.1429, 394144.6297 805802.5845, 394135.7082 805814.186, 394140.0939 805817.1742, 394148.2281 805805.1397, 394158.1438 805790.52, 394166.3548 805777.183, 394173.9058 805763.513, 394181.3339 805748.5073, 394186.8883 805735.1519, 394191.7354 805722.2428, 394195.9275 805708.3105, 394200.2024 805693.109, 394203.7348 805674.8806, 394208.5606 805646.9989, 394215.7985 805600.3338, 394218.516 805579.2679, 394215.6169 805579.0939))"
ABRDEEN_6N,ABRDEEN,6N,1995-01-01,0,False,True,104327,135,104327135,394084.3578805371,805893.5054203463,2,"POLYGON ((394135.7082 805814.186, 394117.5191 805840.5733, 394115.3994 805843.6266, 394099.481 805866.6376, 394097.2103 805869.9026, 394062.0711 805920.8724, 394052.0549 805936.6502, 394030.8837 805971.3802, 394033.6874 805972.712, 394054.4649 805937.7042, 394057.0144 805938.9139, 394067.3454 805923.2135, 394100.0508 805875.6538, 394140.0939 805817.1742, 394135.7082 805814.186))"
ABRDEEN_6S,ABRDEEN,6S,1995-01-01,0,False,True,104327,138,104327138,394195.68587305193,805703.7889881224,2,"POLYGON ((394215.6169 805579.0939, 394210.6235 805612.6422, 394202.7673 805662.7814, 394200.9139 805674.3837, 394200.7577 805675.1521, 394197.7348 805689.9399, 394193.2754 805707.3347, 394188.8836 805721.245, 394184.0301 805733.8981, 394178.427 805747.0977, 394170.7929 805761.8699, 394163.2899 805775.295, 394154.5396 805788.1429, 394144.6297 805802.5845, 394135.7082 805814.186, 394140.0939 805817.1742, 394148.2281 805805.1397, 394158.1438 805790.52, 394166.3548 805777.183, 394173.9058 805763.513, 394181.3339 805748.5073, 394186.8883 805735.1519, 394191.7354 805722.2428, 394195.9275 805708.3105, 394200.2024 805693.109, 394203.7348 805674.8806, 394208.5606 805646.9989, 394215.7985 805600.3338, 394218.516 805579.2679, 394215.6169 805579.0939))"
ABRDEEN_7,ABRDEEN,7,1995-01-01,0,False,True,104327,140,104327140,394173.4783287346,805733.3561818942,1,"POLYGON ((394123.2904 805805.9217, 394135.9678 805788.6485, 394144.3938 805777.5598, 394153.4945 805764.2438, 394163.9251 805745.7048, 394169.5421 805733.841, 394175.1157 805721.1201, 394180.3618 805708.01, 394184.2699 805694.3898, 394188.8135 805672.4307, 394193.7275 805647.0313, 394198.9938 805647.8698, 394194.6733 805673.5244, 394190.118 805695.8286, 394186.392 805709.7936, 394181.2739 805723.6048, 394175.7192 805736.8267, 394170.2296 805748.9575, 394160.332 805767.8518, 394151.3422 805782.5036, 394143.3278 805793.6918, 394130.2693 805810.9989, 394123.2904 805805.9217))"
ABRDEEN_7N,ABRDEEN,7N,1995-01-01,0,False,True,104327,147,104327147,394072.41415147844,805886.401786332,2,"POLYGON ((394123.2904 805805.9217, 394130.2693 805810.9989, 394112.0187 805836.7741, 394109.8688 805839.8163, 394093.8473 805862.7384, 394091.5828 805866.0034, 394055.4344 805917.921, 394025.4092 805968.6721, 394020.7583 805966.3634, 394049.8816 805915.4578, 394083.7132 805860.1038, 394091.4953 805847.5576, 394101.2123 805833.8398, 394103.3684 805830.8198, 394112.2099 805818.4058, 394123.2904 805805.9217))"
ABRDEEN_7S,ABRDEEN,7S,1995-01-01,0,False,True,104327,149,104327149,394173.4783287346,805733.3561818942,2,"POLYGON ((394123.2904 805805.9217, 394135.9678 805788.6485, 394144.3938 805777.5598, 394153.4945 805764.2438, 394163.9251 805745.7048, 394169.5421 805733.841, 394175.1157 805721.1201, 394180.3618 805708.01, 394184.2699 805694.3898, 394188.8135 805672.4307, 394193.7275 805647.0313, 394198.9938 805647.8698, 394194.6733 805673.5244, 394190.118 805695.8286, 394186.392 805709.7936, 394181.2739 805723.6048, 394175.7192 805736.8267, 394170.2296 805748.9575, 394160.332 805767.8518, 394151.3422 805782.5036, 394143.3278 805793.6918, 394130.2693 805810.9989, 394123.2904 805805.9217))"
