StopCode,NewName,NewCode,NewCRS,NewCoordinates
ABWD,Abbey Wood,ABWD,ABW,1
ABWDXR,Abbey Wood,ABWD,ABW,0
ANERLEY,Anerley,,ANZ,1
BARKGLT,Barking,BARKING,BKG,0
BARKING,Barking,BARKING,BKG,1
BCKNHMJ,Beckenham Junction,BCKNHMJ,BKJ,1
BCKNMJC,Beckenham Junction,BCKNHMJ,BKJ,0
PENYCHN,Penychain,,BPC,1
BARLSOP,Barlaston Orchard Place,,BRT,1
BUSHEY,Bushey,BUSHEY,BSH,1
BUSHYDC,Bushey,BUSHEY,BSH,0
CNDAW,Canada Water,,ZCW,1
CLPHMJ1,Clapham Junction,CLPHMJN,CLJ,0
CLPHMJC,Clapham Junction,CLPHMJN,CLJ,0
CLPHMJM,Clapham Junction,CLPHMJN,CLJ,0
CLPHMJW,Clapham Junction,CLPHMJN,CLJ,0
CLPHMJN,Clapham Junction,CLPHMJN,CLJ,1
CNNB,Canonbury,CNNB,CNN,1
CNNBELL,Canonbury,CNNB,CNN,0
EBSFLTI,Ebbsfleet International,EBSFDOM,EBD,0
EBSFDOM,Ebbsfleet International,EBSFDOM,EBD,1
EBWVTN,Ebbw Vale Town,,EBW,1
FAMBDGE,North Fambridge,,NFA,1
GLGC,Glasgow Central,GLGC,GLC,1
GLGCLL,Glasgow Central,GLGC,GLC,0
GLGQHL,Glasgow Queen Street,GLGQHL,GLQ,1
GLGQLL,Glasgow Queen Street,GLGQHL,GLQ,0
GROSMNT,Grosmont,GROSMNT,GMT,1
GROSNYM,Grosmont,GROSMNT,GMT,0
HEWOMTR,Heworth,HEWORTH,HEW,0
HEWORTH,Heworth,HEWORTH,HEW,1
HGHI,Highbury & Islington,HGHI,HHY,1
HIGHBYA,Highbury & Islington,HGHI,HHY,0
HIGHBYE,Highbury & Islington,HGHI,HHY,0
HROW,Harrow & Wealdstone,HROW,HRW,1
HROWDC,Harrow & Wealdstone,HROW,HRW,0
HTRBUS3,Heathrow Terminal 3 Bus,,HWA,1
LNDNBDC,London Bridge,LNDNBDG,LBG,0
LNDNBDE,London Bridge,LNDNBDG,LBG,0
LNDNBDG,London Bridge,LNDNBDG,LBG,1
LVRPLSH,Liverpool Lime Street,LVRPLSH,LIV,1
LVRPLSL,Liverpool Lime Street,LVRPLSH,LIV,0
LRDGFD,London Road (Guildford),,LON,1
ALERTN,Liverpool South Parkway,LVRPSPY,LPY,0
LVRPSPY,Liverpool South Parkway,LVRPSPY,LPY,1
LIVST,London Liverpool Street,LIVST,LST,1
LIVSTLL,London Liverpool Street,LIVST,LST,0
LCHTTVH,Lichfield Trent Valley,LCHTTVL,LTV,0
LCHTTVL,Lichfield Trent Valley,LCHTTVL,LTV,1
LVRPLCH,Liverpool Central,LVRPLCH,LVC,1
LVRPLCL,Liverpool Central,LVRPLCH,LVC,0
MORFLDS,Moorfields,MORFLDS,MRF,1
MORFNL,Moorfields,MORFLDS,MRF,0
NWCSTLE,Newcastle,NWCSTLE,NCL,1
NWCSTLL,Newcastle,NWCSTLE,NCL,0
