Code,Name,rail_based,PT_permitted,route_type
1E,STP - Passenger & Parcels - Empty Coaching Stock,TRUE,FALSE,2
1O,STP - Passenger - Ordinary,TRUE,TRUE,2
1P,STP - Parcels - Other,TRUE,FALSE,2
1X,STP - Passenger - Express,TRUE,TRUE,2
2D,STP - Freight - Departmental,TRUE,FALSE,2
3E,STP - Trip - Empty Coaching Stock,TRUE,FALSE,2
5B,STP - Bus,FALSE,TRUE,3
BB,Bus,FALSE,TRUE,3
FA,Freight - Trainload Coal (Distributive),TRUE,FALSE,2
FB,Freight - Trainload Other,TRUE,FALSE,2
FD,Freight - Departmental,TRUE,FALSE,2
FE,Freight - Trainload Coal (Electricity) MGR,TRUE,FALSE,2
FH,Freight - Railfreight Distribution H,TRUE,FALSE,2
FJ,Freight - Railfreight Distribution J,TRUE,FALSE,2
FZ,Freight - Light Locomotive,TRUE,FALSE,0
PD,Passenger & Parcels - Departmental,TRUE,FALSE,2
PE,Passenger & Parcels - Empty Coaching Stock,TRUE,FALSE,2
PJ,Parcels - Postal,TRUE,FALSE,2
PO,Passenger - Ordinary,TRUE,TRUE,2
PP,Parcels - Other,TRUE,FALSE,2
PX,Passenger - Express,TRUE,TRUE,2
PZ,Passenger - Light Locomotive,TRUE,TRUE,0
S,Ship,FALSE,TRUE,4
TE,Trip - Empty Coaching Stock,TRUE,FALSE,2
TZ,Trip - Light Locomotive,TRUE,TRUE,0
P,Passenger,TRUE,TRUE,2
