FromCRS,ToCRS,TravelTime,TSys
ANY,AMR,93.37083333,PuT-Aux
BAL,AMR,88.30612745,PuT-Aux
BKG,AMR,98.5940678,PuT-Aux
BAK,AMR,85.58236715,PuT-Aux
BET,AMR,81.15238095,PuT-Aux
BRX,AMR,74.69567901,PuT-Aux
BCY,AMR,80.72592593,PuT-Aux
BCV,AMR,96.38913043,PuT-Aux
BSH,AMR,68.41666667,PuT-Aux
CBH,AMR,85.15614035,PuT-Aux
CPK,AMR,63.98333333,PuT-Aux
CFO,AMR,9.794017094,PuT-Aux
CHN,AMR,106.2351852,PuT-Aux
CLW,AMR,13.79210526,PuT-Aux
CTK,AMR,71.35686275,PuT-Aux
CLJ,AMR,90.29363636,PuT-Aux
CPT,AMR,91.79153439,PuT-Aux
CYP,AMR,98.3,PuT-Aux
DMK,AMR,91.63137255,PuT-Aux
EAL,AMR,81.59242424,PuT-Aux
EDR,AMR,103.1619048,PuT-Aux
EPH,AMR,72.7952381,PuT-Aux
ZFD,AMR,62.90045045,PuT-Aux
FPK,AMR,69.40515873,PuT-Aux
FOH,AMR,84.98508772,PuT-Aux
GFD,AMR,88.60588235,PuT-Aux
GNW,AMR,99.725,PuT-Aux
HKC,AMR,85.08207763,PuT-Aux
HRY,AMR,85.91515152,PuT-Aux
HRW,AMR,58.77820513,PuT-Aux
HOH,AMR,32.85526316,PuT-Aux
HTE,AMR,60.98333333,PuT-Aux
HDL,AMR,57.5344086,PuT-Aux
HHY,AMR,67.98288288,PuT-Aux
HPA,AMR,84.42592593,PuT-Aux
IMW,AMR,91.10505051,PuT-Aux
KPA,AMR,85.38870968,PuT-Aux
KTN,AMR,71.8015873,PuT-Aux
KBN,AMR,80.36969697,PuT-Aux
LEW,AMR,91.6115,PuT-Aux
LHS,AMR,88.20036232,PuT-Aux
BFR,AMR,75.8941358,PuT-Aux
LBG,AMR,66.59517544,PuT-Aux
CST,AMR,76.15757576,PuT-Aux
CHX,AMR,66.2525641,PuT-Aux
EUS,AMR,68.53174603,PuT-Aux
FST,AMR,93.6287037,PuT-Aux
LOF,AMR,86.87777778,PuT-Aux
KGX,AMR,90.825,PuT-Aux
LST,AMR,68.59414414,PuT-Aux
MYB,AMR,59.45416667,PuT-Aux
PAD,AMR,57.87909091,PuT-Aux
STP,AMR,70.9127451,PuT-Aux
VIC,AMR,67.58654971,PuT-Aux
WAT,AMR,66.02623457,PuT-Aux
WAE,AMR,82.31781609,PuT-Aux
MOG,AMR,67.61081081,PuT-Aux
NXG,AMR,78.11759259,PuT-Aux
NWD,AMR,98.1875817,PuT-Aux
OLD,AMR,71.05263158,PuT-Aux
PMR,AMR,88.26862745,PuT-Aux
PNE,AMR,100.9572917,PuT-Aux
PUT,AMR,92.64479167,PuT-Aux
QRP,AMR,82.6952381,PuT-Aux
REC,AMR,90.58055556,PuT-Aux
RMD,AMR,93.76269841,PuT-Aux
RIC,AMR,17.27387387,PuT-Aux
RMF,AMR,99.32280702,PuT-Aux
SVS,AMR,73.35972222,PuT-Aux
SPB,AMR,80.43679245,PuT-Aux
SLV,AMR,101.1619048,PuT-Aux
SOH,AMR,81.47424242,PuT-Aux
SRU,AMR,89.67572464,PuT-Aux
SBU,AMR,106.1619048,PuT-Aux
SMH,AMR,91.96111111,PuT-Aux
SKW,AMR,91.77777778,PuT-Aux
SRA,AMR,80.25031447,PuT-Aux
SFA,AMR,85.53970588,PuT-Aux
SYD,AMR,87.62807018,PuT-Aux
TEO,AMR,111.2952381,PuT-Aux
TOM,AMR,76.36190476,PuT-Aux
TUR,AMR,108.9119048,PuT-Aux
UPM,AMR,110.8138889,PuT-Aux
VXH,AMR,69.96011905,PuT-Aux
WWR,AMR,93.8527027,PuT-Aux
WNP,AMR,100.7886905,PuT-Aux
WFJ,AMR,73.4025,PuT-Aux
WMB,AMR,61.00493827,PuT-Aux
WBP,AMR,79.57098765,PuT-Aux
WCY,AMR,99.66851852,PuT-Aux
WEH,AMR,79.27638889,PuT-Aux
WHD,AMR,49.78888889,PuT-Aux
WHL,AMR,100.5952381,PuT-Aux
WIJ,AMR,68.87708333,PuT-Aux
WIM,AMR,96.10752688,PuT-Aux
WGR,AMR,104.1328767,PuT-Aux
WWA,AMR,103.6373984,PuT-Aux
AMR,ANY,101.8995495,PuT-Aux
BAL,ANY,54.2,PuT-Aux
BKG,ANY,53.50759076,PuT-Aux
