service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NC05587230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07107230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07277230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07278230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07279230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07280230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07968230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC07987230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC08009230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC08040230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC08041230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC08042230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17662230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17667230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17670230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17672230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17674230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17677230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17680230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17682230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17689230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17692230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17695230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17698230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17701230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17704230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17707230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17710230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17713230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17716230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17718230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17723230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17725230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17730230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17731230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17734230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17737230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17739230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17741230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17744230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC17746230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18117230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18118230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18119230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18120230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18121230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18122230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18123230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18124230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18159230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18160230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18168230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18177230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18178230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18180230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18188230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18189230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18190230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18191230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18193230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18195230521231001_service,0,0,0,0,0,0,1,20230521,20231001
NC18197230521231203_service,0,0,0,0,0,0,1,20230521,20231203
NC18199230521231001_service,0,0,0,0,0,0,1,20230521,20231001
