route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NC05587230521231203_route,SN,SN_NC05587230521231203,,,2,,,
NC07107230521231203_route,SE,SE_NC07107230521231203,,,2,,,
NC07277230521231203_route,XR,XR_NC07277230521231203,,,2,,,
NC07278230521231203_route,XR,XR_NC07278230521231203,,,2,,,
NC07279230521231203_route,XR,XR_NC07279230521231203,,,2,,,
NC07280230521231203_route,XR,XR_NC07280230521231203,,,2,,,
NC07968230521231203_route,SN,SN_NC07968230521231203,,,2,,,
NC07987230521231203_route,SN,SN_NC07987230521231203,,,2,,,
NC08009230521231203_route,SN,SN_NC08009230521231203,,,2,,,
NC08040230521231203_route,TL,TL_NC08040230521231203,,,2,,,
NC08041230521231203_route,TL,TL_NC08041230521231203,,,2,,,
NC08042230521231203_route,TL,TL_NC08042230521231203,,,2,,,
NC17662230521231203_route,ES,ES_NC17662230521231203,,,2,,,
NC17667230521231203_route,ES,ES_NC17667230521231203,,,2,,,
NC17670230521231203_route,ES,ES_NC17670230521231203,,,2,,,
NC17672230521231203_route,ES,ES_NC17672230521231203,,,2,,,
NC17674230521231203_route,ES,ES_NC17674230521231203,,,2,,,
NC17677230521231203_route,ES,ES_NC17677230521231203,,,2,,,
NC17680230521231203_route,ES,ES_NC17680230521231203,,,2,,,
NC17682230521231203_route,ES,ES_NC17682230521231203,,,2,,,
NC17689230521231203_route,ES,ES_NC17689230521231203,,,2,,,
NC17692230521231203_route,ES,ES_NC17692230521231203,,,2,,,
NC17695230521231203_route,ES,ES_NC17695230521231203,,,2,,,
NC17698230521231203_route,ES,ES_NC17698230521231203,,,2,,,
NC17701230521231203_route,ES,ES_NC17701230521231203,,,2,,,
NC17704230521231203_route,ES,ES_NC17704230521231203,,,2,,,
NC17707230521231203_route,ES,ES_NC17707230521231203,,,2,,,
NC17710230521231203_route,ES,ES_NC17710230521231203,,,2,,,
NC17713230521231203_route,ES,ES_NC17713230521231203,,,2,,,
NC17716230521231203_route,ES,ES_NC17716230521231203,,,2,,,
NC17718230521231203_route,ES,ES_NC17718230521231203,,,2,,,
NC17723230521231203_route,ES,ES_NC17723230521231203,,,2,,,
NC17725230521231203_route,ES,ES_NC17725230521231203,,,2,,,
NC17730230521231203_route,ES,ES_NC17730230521231203,,,2,,,
NC17731230521231203_route,ES,ES_NC17731230521231203,,,2,,,
NC17734230521231203_route,ES,ES_NC17734230521231203,,,2,,,
NC17737230521231203_route,ES,ES_NC17737230521231203,,,2,,,
NC17739230521231203_route,ES,ES_NC17739230521231203,,,2,,,
NC17741230521231203_route,ES,ES_NC17741230521231203,,,2,,,
NC17744230521231203_route,ES,ES_NC17744230521231203,,,2,,,
NC17746230521231203_route,ES,ES_NC17746230521231203,,,2,,,
NC18117230521231001_route,SE,SE_NC18117230521231001,,,2,,,
NC18118230521231001_route,SE,SE_NC18118230521231001,,,2,,,
NC18119230521231001_route,SE,SE_NC18119230521231001,,,2,,,
NC18120230521231001_route,SE,SE_NC18120230521231001,,,2,,,
NC18121230521231001_route,SE,SE_NC18121230521231001,,,2,,,
NC18122230521231001_route,SE,SE_NC18122230521231001,,,2,,,
NC18123230521231001_route,SE,SE_NC18123230521231001,,,2,,,
NC18124230521231001_route,SE,SE_NC18124230521231001,,,2,,,
NC18159230521231203_route,SE,SE_NC18159230521231203,,,2,,,
NC18160230521231203_route,SE,SE_NC18160230521231203,,,2,,,
NC18168230521231203_route,SE,SE_NC18168230521231203,,,2,,,
NC18177230521231203_route,SE,SE_NC18177230521231203,,,2,,,
NC18178230521231203_route,SE,SE_NC18178230521231203,,,2,,,
NC18180230521231203_route,SE,SE_NC18180230521231203,,,2,,,
NC18188230521231001_route,SE,SE_NC18188230521231001,,,2,,,
NC18189230521231001_route,SE,SE_NC18189230521231001,,,2,,,
NC18190230521231001_route,SE,SE_NC18190230521231001,,,2,,,
NC18191230521231001_route,SE,SE_NC18191230521231001,,,2,,,
NC18193230521231001_route,SE,SE_NC18193230521231001,,,2,,,
NC18195230521231001_route,SE,SE_NC18195230521231001,,,2,,,
NC18197230521231203_route,SE,SE_NC18197230521231203,,,2,,,
NC18199230521231001_route,SE,SE_NC18199230521231001,,,2,,,
NC18201230521231001_route,SE,SE_NC18201230521231001,,,2,,,
NC18203230521231001_route,SE,SE_NC18203230521231001,,,2,,,
NC18204230521231001_route,SE,SE_NC18204230521231001,,,2,,,
NC18205230521231001_route,SE,SE_NC18205230521231001,,,2,,,
NC18206230521231001_route,SE,SE_NC18206230521231001,,,2,,,
NC18220230521231203_route,SE,SE_NC18220230521231203,,,2,,,
NC23904230521231203_route,ZZ,ZZ_NC23904230521231203,,,2,,,
NC23907230521231203_route,ZZ,ZZ_NC23907230521231203,,,2,,,
NC23911230521231203_route,ZZ,ZZ_NC23911230521231203,,,2,,,
NC23914230521231203_route,ZZ,ZZ_NC23914230521231203,,,2,,,
NC23918230521231203_route,ZZ,ZZ_NC23918230521231203,,,2,,,
NC23921230521231203_route,ZZ,ZZ_NC23921230521231203,,,2,,,
NC23960230521231203_route,ZZ,ZZ_NC23960230521231203,,,2,,,
NC23966230521231203_route,ZZ,ZZ_NC23966230521231203,,,2,,,
NC23969230521231203_route,ZZ,ZZ_NC23969230521231203,,,2,,,
NC23972230521231203_route,ZZ,ZZ_NC23972230521231203,,,2,,,
NC23975230521231203_route,ZZ,ZZ_NC23975230521231203,,,2,,,
NC23978230521231203_route,ZZ,ZZ_NC23978230521231203,,,2,,,
NC23989230521231203_route,ZZ,ZZ_NC23989230521231203,,,2,,,
NC23992230521231203_route,ZZ,ZZ_NC23992230521231203,,,2,,,
NC23995230521231203_route,ZZ,ZZ_NC23995230521231203,,,2,,,
NC23998230521231203_route,ZZ,ZZ_NC23998230521231203,,,2,,,
