stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
100000,CSBY,Castlebay,798183.6894,66472.7527,1,
100001,LCHBSDL,Lochboisdale,819325.5941,79334.1628,1,
100002,STMAQUY,St. Marys Quay,10962.0851,90257.5519,1,
100003,LCHMADY,Lochmaddy,868178.4363,91826.1855,1,
100004,ROSLARE,Rosslare Harbour,270576.3023,104093.9187,1,
100005,TIREE,Tiree,745678.3118,104937.9166,1,
100006,DUBLINF,Dublin Ferryport,391571.7707,119109.9505,1,
100007,DUBLFST,Dublin Port - Stena,391369.9296,120799.7035,1,
100008,COLL,Coll,756084.9944,122668.1342,1,
100009,DUNLGHR,Dun Laoghaire,385522.9848,124729.1662,1,
100010,CANNA,Canna,805089.7444,127778.1536,1,
100011,UIGG,Uig,863974.1707,138883.4992,1,
100012,COLONSY,Colonsay,694079.2483,139611.8597,1,
100013,RHUM,Rhum,799172.0461,141150.4746,1,
100014,MUCK,Muck,779192.0233,142226.4431,1,
100015,STWY,Stornoway,932612.9767,142410.081,1,
100016,BLFSTDQ,Belfast Donegall Quay,530103.0442,146807.5424,1,
100017,PENZNCE,Penzance,30647.8956,147618.4464,1,
100018,PENZS26,Penzance Sig. 26,30883.2328,147809.4483,1,
100019,PNZQUAY,Penzance Quay,30110.0397,147817.888,1,
100020,PENZS3,Penzance Sig. 3,30903.2293,147841.2201,1,
100021,PENZS28,Penzance Sig. 28,30954.9917,147894.0687,1,
100022,PENZUPL,Penzance Slopers Sidings,31037.1486,148044.3296,1,
100023,PENZS24,Penzance Sig. 24,31041.2113,148068.1914,1,
100024,PORTREE,Portree,843521.5781,148340.982,1,
100025,PONSNDN,Ponsandane Footbridge,31120.4839,148498.4369,1,
100026,EIGG,Eigg,784064.0932,148648.6539,1,
100027,BLFSTPT,Belfast Port,532844.4315,148868.5853,1,
100028,PENZSFR,Penzance Shed Fuel Road,31247.1411,149366.3925,1,
100029,PENZWAS,Penzance Washer,31230.0106,149448.9725,1,
100030,PENZTMD,Penzance T & RSMD,31249.6091,149745.8179,1,
100031,LNGROCK,Long Rock S.B.,31235.49,149775.7974,1,
100032,STIVES,St. Ives,40128.8384,151945.619,1,
100033,CARBISB,Carbis Bay,38763.1848,152862.0311,1,
100034,STER56,St Erth Sig. 56,35593.7685,153997.5424,1,
100035,STERTH,St. Erth,35740.9104,154167.0835,1,
100036,STER10,St Erth Sig. Se10,35972.4795,154412.3924,1,
100037,LELANTS,Lelant Saltings,36641.9732,154428.7097,1,
100038,STERTCE,St Erth Ce Siding,35884.0081,154504.8819,1,
100039,LELANT,Lelant,37249.8856,154782.4917,1,
100040,HAYLE,Hayle,37352.9738,155992.0122,1,
100041,STERR19,St Erth Sig. R19,37527.3454,156245.4428,1,
100042,BROADFO,Broadford,823486.1237,164497.3143,1,
100043,CBORSR6,Camborne Sig. R6,39616.4144,164668.6048,1,
100044,CBORNE,Camborne,39666.8215,164784.3187,1,
100045,CBORRXO,Roskear Crossover,39815.0234,165090.7519,1,
100046,HLSTCOI,Helston Coinagehall St,27471.4592,165333.1595,1,
100047,CBORR10,Camborne Sig. R10,40075.6682,165824.352,1,
100048,HLSTWOO,Helston (Woolworths),27475.6756,165920.8773,1,
100049,ARISAIG,Arisaig,786749.0846,166378.1675,1,
100050,ARISCE,Arisaig Civil Engineering,786713.2149,166551.0531,1,
100051,HLSTCUL,Helston Culdrose (RNAS),24965.6058,167058.0995,1,
100052,MLAIGGF,Mallaig G.F.,796819.9022,167417.1323,1,
100053,MLAIGCE,Mallaig Civil Engineering,797018.1597,167501.1395,1,
100054,MLAIG,Mallaig,797036.1002,167535.1055,1,
100055,ARMADLE,Armadale (Skye),797216.8277,167634.4947,1,
100056,MORAR,Morar,792910.8461,167785.1446,1,
100057,HLSTMUL,Mullion Holiday Park,18281.3322,169965.7111,1,
100058,REDRUTH,Redruth,42008.6183,170052.1059,1,
100059,REDRR27,Redruth Sig. R27,42074.7127,170100.2515,1,
100060,REDRR14,Redruth Sig. R14,43265.4367,170293.3623,1,
100061,BEASDAL,Beasdale,785058.474,170901.7305,1,
100062,CRGURE,Craignure,737171.7528,171900.3348,1,
100063,CAMPBLT,Campbeltown,620310.752,172296.7652,1,
100064,KYLEAKN,Kyleakin,826464.2943,175479.9243,1,
100065,KYLEGF,Kyle of Lochalsh G.F,827487.2771,176169.5276,1,
100066,KYLELCE,Kyle Of Lochalsh Civil Engineering,827207.3728,176225.5647,1,
100067,KYLELSH,Kyle of Lochalsh,827129.9356,176241.7872,1,
100068,BLDHR31,Baldhu Sig. R31,44802.5758,176335.9237,1,
100069,LCHALRT,Lochailort,782654.2174,176903.8273,1,
100070,BLDHU,Baldhu,44339.9728,177577.2826,1,
100071,DUIRNSH,Duirinish,831525.2244,177852.7127,1,
100072,PRYN,Penryn,34757.1664,177872.9477,1,
100073,PERANWL,Perranwell,39810.899,178079.883,1,
100074,PLOCKTN,Plockton,832952.687,179455.4709,1,
100075,PENMERE,Penmere,32363.2076,179834.8693,1,
100076,PNWTHRJ,Penwithers Jn,44457.9134,181073.7955,1,
100077,FALMTHT,Falmouth Town,32081.9546,181121.1683,1,
100078,DUNCRAG,Duncraig,833224.0174,181198.1308,1,
100079,TRUR14,Truro Sig. 14,44810.1356,181344.4501,1,
100080,TRURUKF,Truro U.k.f. M.thomas,44862.0119,181380.9801,1,
100081,TRUROCE,Truro Isu Civil Engineering,44945.0029,181574.9822,1,
100082,NEWQUAY,Newquay,61725.5056,181611.0818,1,
100083,TRURO,Truro,44937.1041,181709.1906,1,
100084,TRURYRD,Truro Yard,44995.1914,181775.0508,1,
100085,FALMTHD,Falmouth Docks,32364.4867,181807.3543,1,
100086,TRUR37,Truro Shunt Sig. 37,44976.5425,181913.0124,1,
100087,QNTRLDW,Quintrell Downs,60418.6641,184850.4178,1,
100088,LISMORE,Lismore,740958.7958,185255.5967,1,
100089,LCHABUI,Leachabhuidh,781380.0109,185373.9849,1,
100090,OBANGF,Oban G.F.,729507.5974,185590.6396,1,
100091,OBAN,Oban,729850.8229,185717.1589,1,
100092,TARBERT,Tarbert,668640.4379,186447.3746,1,
100093,STRMFRY,Stromeferry,834658.3668,186487.6587,1,
100094,PROBUS,Probus,48419.9123,188879.8123,1,
100095,ROBSGBF,Robeston Sidings (GBRf),208746.0969,188970.9718,1,
100096,ROBSTNS,Robeston Sidings,208756.1866,188979.4996,1,
100097,GLNFNNN,Glenfinnan,780985.3795,189872.5369,1,
100098,MLFDHVN,Milford Haven,206267.1612,189998.7806,1,
100099,GLNFCE,Glenfinnan Civil Engineering,780934.6837,189999.1375,1,
100100,MLFDOCK,Milford Haven Mhdc,206070.0042,190057.9799,1,
100101,STCLMBR,St. Columb Road,59569.3134,191054.4338,1,
100102,HRBRNSJ,Herbrandston Jn,208441.1959,191288.3288,1,
100103,CONNELF,Connel Ferry,734060.7428,191633.48,1,
100104,PDSTWBT,Padstow Old Rly Station,75097.5163,192038.8672,1,
100105,ATADALE,Attadale,839057.279,192462.9984,1,
100106,JHNSTND,Johnston,210683.9919,193259.7939,1,
100107,WSTNSD,Waterston Sidings,205878.1285,193404.6865,1,
100108,LTRSTNJ,Letterston Jn,232093.313,193606.5191,1,
100109,PRKATRE,Treviscoe Ecc Siding,56054.0096,194125.982,1,
100110,STCNLC,Strathcarron S.B.,842060.9098,194198.0764,1,
100111,STCN,Strathcarron,842131.0733,194233.8088,1,
100112,STCNCE,Strathcarron Civil Engineering,842196.5899,194261.2973,1,
100113,STCNGF,Strathcarron G.F.,842354.247,194368.6044,1,
100114,PRKAKER,Kernick Ecc Siding,55652.0053,194370.9837,1,
100115,FGDHGWK,Fishguard & Goodwick,238181.8782,194514.4431,1,
100116,PRKADIL,Parkandillack,57082.1348,194687.9378,1,
100117,FGDHBR,Fishguard Harbour,239009.3044,195201.3155,1,
100118,FGDHSDG,Fishguard Harbour Siding,239197.0027,195262.9814,1,
100119,HAVRFDW,Haverfordwest,215711.236,196010.5698,1,
100120,DRNIKML,Drinnick Mill,55273.3538,196038.2425,1,
100121,HAVRFRD,Haverfordwst Freight Depot,215743.3369,196086.1261,1,
100122,HAVRGBF,Haverfordwest Fd (GBRf),215792.1026,196164.0842,1,
100123,TRECWN,Trecwn,232533.0106,196993.9818,1,
100124,PEMBRKD,Pembroke Dock,203553.614,197023.8271,1,
100125,PEMBFTM,Pembroke Ferry Terminal,203770.4223,197170.976,1,
100126,CRUGWAL,Crugwallins Sidings,52604.0101,197816.9843,1,
100127,BGLWECC,Burngullow E.C.C.,52469.654,198414.3559,1,
100128,BGLWFHH,Burngullow (FLHH),52466.3924,198416.3905,1,
100129,ACHHBLC,Balnacra L.C.,846479.1874,198417.4569,1,
100130,BGLWJN,Burngullow Jn,52569.6249,198667.8612,1,
100131,BGLW203,Burngullow Shunt Sig. P203,52670.8727,198956.609,1,
100132,RCHE,Roche,61469.6478,199021.1904,1,
100133,PEMBROK,Pembroke,201158.8123,199115.1654,1,
100134,WDBDGBS,Wadebridge Bus Station,72154.7541,199175.7518,1,
100135,LCHESDE,Locheilside,778666.1227,199473.5857,1,
100136,TAYNGF,Taynuilt G.F.,731241.6902,200082.4113,1,
100137,ACHHSHL,Achnashellach,848443.972,200292.1336,1,
100138,TAYNULT,Taynuilt,731227.6236,200334.1515,1,
100139,TAYNUCE,Taynuilt Civil Engineering,731199.736,200367.5835,1,
100140,LAMPHEY,Lamphey,200387.1029,201433.056,1,
100141,CLARBRD,Clarbeston Road,220946.0177,201592.7648,1,
100142,STAUSTL,St. Austell,52580.7667,201605.9456,1,
100143,STAUSCE,St Austell Isu Civil Engineering,52553.3932,201695.546,1,
100144,BUGLE,Bugle,59304.4114,201721.0153,1,
100145,GNBAEWS,Goonbarrow Junction (DB Cargo),58945.496,201974.4089,1,
100146,BDICK,Brodick,635894.7963,202031.2888,1,
100147,BUGLROC,Rocks Dries Ecc Siding,58836.0063,202408.9843,1,
100148,GNBARWJ,Goonbarrow Jn (Imerys),58689.2208,202741.7831,1,
100149,LUXULYN,Luxulyan,58093.4485,204765.9621,1,
100150,STAUEDE,Eden Project,54837.4064,204867.4335,1,
100151,LCEILOB,Loch Eil Outward Bound,778317.1477,205421.169,1,
100152,STRNRHR,Stranraer Harbour (Ferry),561260.8834,205899.4617,1,
100153,STRNRR,Stranraer,561378.3066,206191.4178,1,
100154,GLCARON,Glencarron,850803.0044,206292.9844,1,
100155,STRNRTN,Stranraer Town F.D.,560443.0738,206722.0408,1,
100156,STRNTSH,Stranraer Stockton Haulage,560421.8814,206748.3487,1,
100157,STRNYGF,Stranraer Yard G.F.,560480.6501,206755.1202,1,
100158,CNRYNP,Cairnryan (loch Ryan Port),568002.5014,206925.3886,1,
100159,MNORBER,Manorbier,199403.4184,206949.7124,1,
100160,BODMTSB,Bodmin Tsb Bus Stop,67114.9912,207125.8627,1,
100161,BODMNMF,Bodmin Mount Folly,66916.1948,207169.5344,1,
100162,STBLHOS,St Blazey H & Sons,53961.0085,207263.9887,1,
100163,STBLAZY,St Blazey S.B.,54092.391,207264.5057,1,
100164,BODMNGS,Bodmin General Station,66441.5954,207297.8258,1,
100165,STBLZYY,St. Blazey SS,53995.1454,207301.3708,1,
100166,STBLTMD,St. Blazey L.I.P.,53970.2495,207312.4997,1,
100167,PARHECC,Ecc Par Harbour,53525.1023,207481.5857,1,
100168,PARRCHS,Par Chapel Siding,53709.684,207640.2003,1,
100169,PARRLNR,Par Liner Sidings,54062.9203,207673.5647,1,
100170,PARR,Par,54144.3625,207697.7012,1,
100171,PARR7,Par Sig. PR7,54383.1693,207765.1773,1,
100172,PARRDGL,Par Down Goods Loop,54493.7865,207831.9183,1,
100173,CORPCPM,Corpach Pulp Mill,776468.9557,207911.6233,1,
100174,CORPFLT,Corpach Flt,776452.5782,207933.165,1,
100175,CORPGBR,Corpach (GBRf),776443.1646,207948.9847,1,
100176,FLSCRHN,Falls of Cruachan,726771.8712,207970.7102,1,
100177,ANAT,Annat G.F.,776791.8303,208290.4447,1,
100178,RSAY,Rothesay,664831.1655,208939.3263,1,
100179,CORPACH,Corpach,776713.2921,209675.8969,1,
100180,LSTW4,Lostwithiel Sig. 4,59394.8487,210421.7731,1,
100181,FRTWLM,Fort William,774189.2845,210553.5344,1,
100182,FRTWLMS,Fort William Station Sidings,774214.7272,210592.7442,1,
100183,FRTWFLT,Ft.william Sidings Flt,774225.4046,210620.0473,1,
100184,BODM043,Bodmin Sig. Ll1043,63932.3266,210640.7543,1,
100185,LSTWTHL,Lostwithiel,59747.8534,210643.1787,1,
100186,LSTWCSG,Lostwithiel Clay Sidings,59792.265,210695.3949,1,
100187,LSTWUGL,Lostwithiel U.G.L.,60173.4471,210716.7539,1,
100188,LSTWDGL,Lostwithiel D.G.L.,60174.5899,210730.5095,1,
100189,BODMINS,Bodmin Sidings,64023.7224,210836.1873,1,
100190,FRTW33,Fort William Sig. 33,774337.8638,210921.3304,1,
100191,BODMNPW,Bodmin Parkway,64078.6112,211046.5741,1,
100192,BANAVIE,Banavie,776760.8798,211269.6351,1,
100193,BODM042,Bodmin Sig. Ll1042,64414.4749,211342.9442,1,
100194,FRTWJN,Fort William Jn,774565.384,211465.7322,1,
100195,FRTWJFL,Ft William Jn FLT,774733.7414,211602.5613,1,
100196,FRTWLCE,Fort William Civil Engineering,774767.1493,211604.3333,1,
100197,FRTWINY,Inverlochy Yard,774753.4266,211604.5752,1,
100198,FRTWJYD,Fort William J.Yd T.C.,774876.2257,211637.7488,1,
100199,FRTWJTG,Fort William Jn T.c. (GBRf),774943.0159,211660.3664,1,
100200,PNALLY,Penally,199067.3425,211815.9734,1,
100201,FRTWTLP,Fort William Timber Load,775092.8292,211841.6512,1,
100202,FRTWDCC,Fort William Dcc Energy,775123.026,211875.8025,1,
100203,FRTWTNF,Tom Na Faire Depot,775240.6878,211893.4009,1,
100204,CLYNDRW,Clunderwen,219250.5182,211941.1923,1,
100205,NRBERTH,Narberth,214710.4393,212054.2911,1,
100206,FRTWAGB,Fort William Alcan (GBRf),775079.0375,212277.2654,1,
100207,FRTWGF,Fort William Ba G.F.,774963.1579,212289.3941,1,
100208,FRTWBAF,Fort William (flt Dup),775101.9197,212340.2607,1,
100209,SDRSFOT,Saundersfoot,206102.4325,212357.9083,1,
100210,FRTWBAC,Fort William British Alcan,775108.0174,212359.5848,1,
100211,LOCHAWE,Loch Awe,727437.2254,212398.1121,1,
100212,FOWEYDK,Fowey Dock Carne Point,52907.2447,212456.651,1,
100213,KILGETY,Kilgetty,207229.6872,212641.9543,1,
100214,ULLAPOL,Ullapool,893883.8716,212815.1881,1,
100215,TENBY,Tenby,200601.3239,212937.8593,1,
100216,DNRAGIT,Dunragit S.B.,557451.8682,214826.4373,1,
100217,DLMAGF,Dalmally G.F.,727209.5927,215867.3941,1,
100218,DLMALLY,Dalmally,727187.0702,216035.4434,1,
100219,CUMBRAE,Cumbrae Slip,654690.9899,216123.9881,1,
100220,DLMALCE,Dalmally Civil Engineering,727167.3516,216304.8043,1,
