route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
NC05587230521231203_route,NC05587230521231203_service,NC05587230521231203_trip,,,,
NC07107230521231203_route,NC07107230521231203_service,NC07107230521231203_trip,,,,
NC07277230521231203_route,NC07277230521231203_service,NC07277230521231203_trip,,,,
NC07278230521231203_route,NC07278230521231203_service,NC07278230521231203_trip,,,,
NC07279230521231203_route,NC07279230521231203_service,NC07279230521231203_trip,,,,
NC07280230521231203_route,NC07280230521231203_service,NC07280230521231203_trip,,,,
NC07968230521231203_route,NC07968230521231203_service,NC07968230521231203_trip,,,,
NC07987230521231203_route,NC07987230521231203_service,NC07987230521231203_trip,,,,
NC08009230521231203_route,NC08009230521231203_service,NC08009230521231203_trip,,,,
NC08040230521231203_route,NC08040230521231203_service,NC08040230521231203_trip,,,,
NC08041230521231203_route,NC08041230521231203_service,NC08041230521231203_trip,,,,
NC08042230521231203_route,NC08042230521231203_service,NC08042230521231203_trip,,,,
NC17662230521231203_route,NC17662230521231203_service,NC17662230521231203_trip,,,,
NC17667230521231203_route,NC17667230521231203_service,NC17667230521231203_trip,,,,
NC17670230521231203_route,NC17670230521231203_service,NC17670230521231203_trip,,,,
NC17672230521231203_route,NC17672230521231203_service,NC17672230521231203_trip,,,,
NC17674230521231203_route,NC17674230521231203_service,NC17674230521231203_trip,,,,
NC17677230521231203_route,NC17677230521231203_service,NC17677230521231203_trip,,,,
NC17680230521231203_route,NC17680230521231203_service,NC17680230521231203_trip,,,,
NC17682230521231203_route,NC17682230521231203_service,NC17682230521231203_trip,,,,
NC17689230521231203_route,NC17689230521231203_service,NC17689230521231203_trip,,,,
NC17692230521231203_route,NC17692230521231203_service,NC17692230521231203_trip,,,,
NC17695230521231203_route,NC17695230521231203_service,NC17695230521231203_trip,,,,
NC17698230521231203_route,NC17698230521231203_service,NC17698230521231203_trip,,,,
NC17701230521231203_route,NC17701230521231203_service,NC17701230521231203_trip,,,,
NC17704230521231203_route,NC17704230521231203_service,NC17704230521231203_trip,,,,
NC17707230521231203_route,NC17707230521231203_service,NC17707230521231203_trip,,,,
NC17710230521231203_route,NC17710230521231203_service,NC17710230521231203_trip,,,,
NC17713230521231203_route,NC17713230521231203_service,NC17713230521231203_trip,,,,
NC17716230521231203_route,NC17716230521231203_service,NC17716230521231203_trip,,,,
NC17718230521231203_route,NC17718230521231203_service,NC17718230521231203_trip,,,,
NC17723230521231203_route,NC17723230521231203_service,NC17723230521231203_trip,,,,
NC17725230521231203_route,NC17725230521231203_service,NC17725230521231203_trip,,,,
NC17730230521231203_route,NC17730230521231203_service,NC17730230521231203_trip,,,,
NC17731230521231203_route,NC17731230521231203_service,NC17731230521231203_trip,,,,
NC17734230521231203_route,NC17734230521231203_service,NC17734230521231203_trip,,,,
NC17737230521231203_route,NC17737230521231203_service,NC17737230521231203_trip,,,,
NC17739230521231203_route,NC17739230521231203_service,NC17739230521231203_trip,,,,
NC17741230521231203_route,NC17741230521231203_service,NC17741230521231203_trip,,,,
NC17744230521231203_route,NC17744230521231203_service,NC17744230521231203_trip,,,,
NC17746230521231203_route,NC17746230521231203_service,NC17746230521231203_trip,,,,
NC18117230521231001_route,NC18117230521231001_service,NC18117230521231001_trip,,,,
NC18118230521231001_route,NC18118230521231001_service,NC18118230521231001_trip,,,,
NC18119230521231001_route,NC18119230521231001_service,NC18119230521231001_trip,,,,
NC18120230521231001_route,NC18120230521231001_service,NC18120230521231001_trip,,,,
NC18121230521231001_route,NC18121230521231001_service,NC18121230521231001_trip,,,,
NC18122230521231001_route,NC18122230521231001_service,NC18122230521231001_trip,,,,
NC18123230521231001_route,NC18123230521231001_service,NC18123230521231001_trip,,,,
NC18124230521231001_route,NC18124230521231001_service,NC18124230521231001_trip,,,,
NC18159230521231203_route,NC18159230521231203_service,NC18159230521231203_trip,,,,
NC18160230521231203_route,NC18160230521231203_service,NC18160230521231203_trip,,,,
NC18168230521231203_route,NC18168230521231203_service,NC18168230521231203_trip,,,,
NC18177230521231203_route,NC18177230521231203_service,NC18177230521231203_trip,,,,
NC18178230521231203_route,NC18178230521231203_service,NC18178230521231203_trip,,,,
NC18180230521231203_route,NC18180230521231203_service,NC18180230521231203_trip,,,,
NC18188230521231001_route,NC18188230521231001_service,NC18188230521231001_trip,,,,
NC18189230521231001_route,NC18189230521231001_service,NC18189230521231001_trip,,,,
NC18190230521231001_route,NC18190230521231001_service,NC18190230521231001_trip,,,,
NC18191230521231001_route,NC18191230521231001_service,NC18191230521231001_trip,,,,
NC18193230521231001_route,NC18193230521231001_service,NC18193230521231001_trip,,,,
NC18195230521231001_route,NC18195230521231001_service,NC18195230521231001_trip,,,,
NC18197230521231203_route,NC18197230521231203_service,NC18197230521231203_trip,,,,
NC18199230521231001_route,NC18199230521231001_service,NC18199230521231001_trip,,,,
NC18201230521231001_route,NC18201230521231001_service,NC18201230521231001_trip,,,,
NC18203230521231001_route,NC18203230521231001_service,NC18203230521231001_trip,,,,
NC18204230521231001_route,NC18204230521231001_service,NC18204230521231001_trip,,,,
NC18205230521231001_route,NC18205230521231001_service,NC18205230521231001_trip,,,,
NC18206230521231001_route,NC18206230521231001_service,NC18206230521231001_trip,,,,
NC18220230521231203_route,NC18220230521231203_service,NC18220230521231203_trip,,,,
NC23904230521231203_route,NC23904230521231203_service,NC23904230521231203_trip,,,,
NC23907230521231203_route,NC23907230521231203_service,NC23907230521231203_trip,,,,
NC23911230521231203_route,NC23911230521231203_service,NC23911230521231203_trip,,,,
NC23914230521231203_route,NC23914230521231203_service,NC23914230521231203_trip,,,,
NC23918230521231203_route,NC23918230521231203_service,NC23918230521231203_trip,,,,
NC23921230521231203_route,NC23921230521231203_service,NC23921230521231203_trip,,,,
NC23960230521231203_route,NC23960230521231203_service,NC23960230521231203_trip,,,,
NC23966230521231203_route,NC23966230521231203_service,NC23966230521231203_trip,,,,
NC23969230521231203_route,NC23969230521231203_service,NC23969230521231203_trip,,,,
NC23972230521231203_route,NC23972230521231203_service,NC23972230521231203_trip,,,,
NC23975230521231203_route,NC23975230521231203_service,NC23975230521231203_trip,,,,
NC23978230521231203_route,NC23978230521231203_service,NC23978230521231203_trip,,,,
NC23989230521231203_route,NC23989230521231203_service,NC23989230521231203_trip,,,,
NC23992230521231203_route,NC23992230521231203_service,NC23992230521231203_trip,,,,
NC23995230521231203_route,NC23995230521231203_service,NC23995230521231203_trip,,,,
NC23998230521231203_route,NC23998230521231203_service,NC23998230521231203_trip,,,,
