service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NA00001_service,1,1,1,1,1,1,0,20000101,20991231
NA00002_service,1,1,1,1,1,1,0,20000101,20991231
NA00003_service,1,1,1,1,1,1,0,20000101,20991231
NA00004_service,1,1,1,1,1,1,0,20000101,20991231
NA00005_service,1,1,1,1,1,1,0,20000101,20991231
NA00006_service,1,1,1,1,1,1,0,20000101,20991231
NA00007_service,1,1,1,1,1,1,0,20000101,20991231
NA00008_service,1,1,1,1,1,1,0,20000101,20991231
NA00009_service,1,1,1,1,1,1,0,20000101,20991231
NA00010_service,1,1,1,1,1,1,0,20000101,20991231
NA00011_service,1,1,1,1,1,1,0,20000101,20991231
NA00012_service,1,1,1,1,1,1,0,20000101,20991231
NA00013_service,1,1,1,1,1,1,0,20000101,20991231
NA00014_service,1,1,1,1,1,1,0,20000101,20991231
NA00015_service,1,1,1,1,1,1,0,20000101,20991231
NA00016_service,1,1,1,1,1,1,0,20000101,20991231
NA00017_service,1,1,1,1,1,1,0,20000101,20991231
NA00018_service,1,1,1,1,1,1,0,20000101,20991231
NA00019_service,1,1,1,1,1,1,0,20000101,20991231
NA00020_service,1,1,1,1,1,1,0,20000101,20991231
NA00021_service,1,1,1,1,1,1,0,20000101,20991231
NA00022_service,1,1,1,1,1,1,0,20000101,20991231
NA00023_service,1,1,1,1,1,1,0,20000101,20991231
NA00024_service,1,1,1,1,1,1,0,20000101,20991231
NA00025_service,1,1,1,1,1,1,0,20000101,20991231
NA00026_service,1,1,1,1,1,1,0,20000101,20991231
NA00027_service,1,1,1,1,1,1,0,20000101,20991231
NA00028_service,1,1,1,1,1,1,0,20000101,20991231
NA00029_service,1,1,1,1,1,1,0,20000101,20991231
NA00030_service,1,1,1,1,1,1,0,20000101,20991231
NA00031_service,1,1,1,1,1,1,0,20000101,20991231
NA00032_service,1,1,1,1,1,1,0,20000101,20991231
NA00033_service,1,1,1,1,1,1,0,20000101,20991231
NA00034_service,1,1,1,1,1,1,0,20000101,20991231
NA00035_service,1,1,1,1,1,1,0,20000101,20991231
NA00036_service,1,1,1,1,1,1,0,20000101,20991231
NA00037_service,1,1,1,1,1,1,0,20000101,20991231
NA00038_service,1,1,1,1,1,1,0,20000101,20991231
NA00039_service,1,1,1,1,1,1,0,20000101,20991231
NA00040_service,1,1,1,1,1,1,0,20000101,20991231
NA00041_service,1,1,1,1,1,1,0,20000101,20991231
NA00042_service,1,1,1,1,1,1,0,20000101,20991231
NA00043_service,1,1,1,1,1,1,0,20000101,20991231
NA00044_service,1,1,1,1,1,1,0,20000101,20991231
NA00045_service,1,1,1,1,1,1,0,20000101,20991231
NA00046_service,1,1,1,1,1,1,0,20000101,20991231
NA00047_service,1,1,1,1,1,1,0,20000101,20991231
NA00048_service,1,1,1,1,1,1,0,20000101,20991231
NA00049_service,1,1,1,1,1,1,0,20000101,20991231
NA00050_service,1,1,1,1,1,1,0,20000101,20991231
NA00051_service,1,1,1,1,1,1,0,20000101,20991231
NA00052_service,1,1,1,1,1,1,0,20000101,20991231
NA00053_service,1,1,1,1,1,1,0,20000101,20991231
NA00054_service,1,1,1,1,1,1,0,20000101,20991231
NA00055_service,1,1,1,1,1,1,0,20000101,20991231
NA00056_service,1,1,1,1,1,1,0,20000101,20991231
NA00057_service,1,1,1,1,1,1,0,20000101,20991231
NA00058_service,1,1,1,1,1,1,0,20000101,20991231
NA00059_service,1,1,1,1,1,1,0,20000101,20991231
NA00060_service,1,1,1,1,1,1,0,20000101,20991231
NA00061_service,1,1,1,1,1,1,0,20000101,20991231
NA00062_service,1,1,1,1,1,1,0,20000101,20991231
NA00063_service,1,1,1,1,1,1,0,20000101,20991231
NA00064_service,1,1,1,1,1,1,0,20000101,20991231
NA00065_service,1,1,1,1,1,1,0,20000101,20991231
NA00066_service,1,1,1,1,1,1,0,20000101,20991231
NA00067_service,1,1,1,1,1,1,0,20000101,20991231
NA00068_service,1,1,1,1,1,1,0,20000101,20991231
NA00069_service,1,1,1,1,1,1,0,20000101,20991231
NA00070_service,1,1,1,1,1,1,0,20000101,20991231
NA00071_service,1,1,1,1,1,1,0,20000101,20991231
NA00072_service,1,1,1,1,1,1,0,20000101,20991231
NA00073_service,1,1,1,1,1,1,0,20000101,20991231
NA00074_service,1,1,1,1,1,1,0,20000101,20991231
NA00075_service,1,1,1,1,1,1,0,20000101,20991231
NA00076_service,1,1,1,1,1,1,0,20000101,20991231
NA00077_service,1,1,1,1,1,1,0,20000101,20991231
NA00078_service,1,1,1,1,1,1,0,20000101,20991231
NA00079_service,1,1,1,1,1,1,0,20000101,20991231
NA00080_service,1,1,1,1,1,1,0,20000101,20991231
NA00081_service,1,1,1,1,1,1,0,20000101,20991231
NA00082_service,1,1,1,1,1,1,0,20000101,20991231
NA00083_service,1,1,1,1,1,1,0,20000101,20991231
NA00084_service,1,1,1,1,1,1,0,20000101,20991231
NA00085_service,1,1,1,1,1,1,0,20000101,20991231
NA00086_service,1,1,1,1,1,1,0,20000101,20991231
NA00087_service,1,1,1,1,1,1,0,20000101,20991231
NA00088_service,1,1,1,1,1,1,0,20000101,20991231
NA00089_service,1,1,1,1,1,1,0,20000101,20991231
NA00090_service,1,1,1,1,1,1,0,20000101,20991231
NA00091_service,1,1,1,1,1,1,0,20000101,20991231
NA00092_service,1,1,1,1,1,1,0,20000101,20991231
NA00093_service,1,1,1,1,1,1,0,20000101,20991231
NA00094_service,1,1,1,1,1,1,0,20000101,20991231
NA00095_service,1,1,1,1,1,1,0,20000101,20991231
NA00096_service,1,1,1,1,1,1,0,20000101,20991231
NA00097_service,1,1,1,1,1,1,0,20000101,20991231
NA00098_service,1,1,1,1,1,1,0,20000101,20991231
NA00099_service,1,1,1,1,1,1,0,20000101,20991231
NA00100_service,1,1,1,1,1,1,0,20000101,20991231
NA00101_service,1,1,1,1,1,1,0,20000101,20991231
NA00102_service,1,1,1,1,1,1,0,20000101,20991231
NA00103_service,1,1,1,1,1,1,0,20000101,20991231
NA00104_service,1,1,1,1,1,1,0,20000101,20991231
NA00105_service,1,1,1,1,1,1,0,20000101,20991231
NA00106_service,1,1,1,1,1,1,0,20000101,20991231
NA00107_service,1,1,1,1,1,1,0,20000101,20991231
NA00108_service,1,1,1,1,1,1,0,20000101,20991231
NA00109_service,1,1,1,1,1,1,0,20000101,20991231
NA00110_service,1,1,1,1,1,1,0,20000101,20991231
NA00111_service,1,1,1,1,1,1,0,20000101,20991231
NA00112_service,1,1,1,1,1,1,0,20000101,20991231
NA00113_service,1,1,1,1,1,1,0,20000101,20991231
NA00114_service,1,1,1,1,1,1,0,20000101,20991231
NA00115_service,1,1,1,1,1,1,0,20000101,20991231
NA00116_service,1,1,1,1,1,1,0,20000101,20991231
NA00117_service,1,1,1,1,1,1,0,20000101,20991231
NA00118_service,1,1,1,1,1,1,0,20000101,20991231
NA00119_service,1,1,1,1,1,1,0,20000101,20991231
NA00120_service,1,1,1,1,1,1,0,20000101,20991231
NA00121_service,1,1,1,1,1,1,0,20000101,20991231
NA00122_service,1,1,1,1,1,1,0,20000101,20991231
NA00123_service,1,1,1,1,1,1,0,20000101,20991231
NA00124_service,1,1,1,1,1,1,0,20000101,20991231
NA00125_service,1,1,1,1,1,1,0,20000101,20991231
NA00126_service,1,1,1,1,1,1,0,20000101,20991231
NA00127_service,1,1,1,1,1,1,0,20000101,20991231
NA00128_service,1,1,1,1,1,1,0,20000101,20991231
NA00129_service,1,1,1,1,1,1,0,20000101,20991231
NA00130_service,1,1,1,1,1,1,0,20000101,20991231
NA00131_service,1,1,1,1,1,1,0,20000101,20991231
NA00132_service,1,1,1,1,1,1,0,20000101,20991231
NA00133_service,1,1,1,1,1,1,0,20000101,20991231
NA00134_service,1,1,1,1,1,1,0,20000101,20991231
NA00135_service,1,1,1,1,1,1,0,20000101,20991231
NA00136_service,1,1,1,1,1,1,0,20000101,20991231
NA00137_service,1,1,1,1,1,1,0,20000101,20991231
NA00138_service,1,1,1,1,1,1,0,20000101,20991231
NA00139_service,1,1,1,1,1,1,0,20000101,20991231
NA00140_service,1,1,1,1,1,1,0,20000101,20991231
NA00141_service,1,1,1,1,1,1,0,20000101,20991231
NA00142_service,1,1,1,1,1,1,0,20000101,20991231
NA00143_service,1,1,1,1,1,1,0,20000101,20991231
NA00144_service,1,1,1,1,1,1,0,20000101,20991231
NA00145_service,1,1,1,1,1,1,0,20000101,20991231
NA00146_service,1,1,1,1,1,1,0,20000101,20991231
NA00147_service,1,1,1,1,1,1,0,20000101,20991231
NA00148_service,1,1,1,1,1,1,0,20000101,20991231
NA00149_service,1,1,1,1,1,1,0,20000101,20991231
NA00150_service,1,1,1,1,1,1,0,20000101,20991231
NA00151_service,1,1,1,1,1,1,0,20000101,20991231
NA00152_service,1,1,1,1,1,1,0,20000101,20991231
NA00153_service,1,1,1,1,1,1,0,20000101,20991231
NA00154_service,1,1,1,1,1,1,0,20000101,20991231
NA00155_service,1,1,1,1,1,1,0,20000101,20991231
NA00156_service,1,1,1,1,1,1,0,20000101,20991231
NA00157_service,1,1,1,1,1,1,0,20000101,20991231
NA00158_service,1,1,1,1,1,1,0,20000101,20991231
NA00159_service,1,1,1,1,1,1,0,20000101,20991231
NA00160_service,1,1,1,1,1,1,0,20000101,20991231
NA00161_service,1,1,1,1,1,1,0,20000101,20991231
