route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NA00001_route,GW,GW_NA00001,,,2,,,
NA00002_route,GW,GW_NA00002,,,2,,,
NA00003_route,GW,GW_NA00003,,,2,,,
NA00004_route,GW,GW_NA00004,,,2,,,
NA00005_route,GW,GW_NA00005,,,2,,,
NA00006_route,GW,GW_NA00006,,,2,,,
NA00007_route,GW,GW_NA00007,,,2,,,
NA00008_route,GW,GW_NA00008,,,2,,,
NA00009_route,GW,GW_NA00009,,,2,,,
NA00010_route,GW,GW_NA00010,,,2,,,
NA00011_route,GW,GW_NA00011,,,2,,,
NA00012_route,GW,GW_NA00012,,,2,,,
NA00013_route,GW,GW_NA00013,,,2,,,
NA00014_route,GW,GW_NA00014,,,2,,,
NA00015_route,GW,GW_NA00015,,,2,,,
NA00016_route,GW,GW_NA00016,,,2,,,
NA00017_route,GW,GW_NA00017,,,2,,,
NA00018_route,GW,GW_NA00018,,,2,,,
NA00019_route,GW,GW_NA00019,,,2,,,
NA00020_route,GW,GW_NA00020,,,2,,,
NA00021_route,GW,GW_NA00021,,,2,,,
NA00022_route,GW,GW_NA00022,,,2,,,
NA00023_route,GW,GW_NA00023,,,2,,,
NA00024_route,GW,GW_NA00024,,,2,,,
NA00025_route,GW,GW_NA00025,,,2,,,
NA00026_route,GW,GW_NA00026,,,2,,,
NA00027_route,GW,GW_NA00027,,,2,,,
NA00028_route,GW,GW_NA00028,,,2,,,
NA00029_route,GW,GW_NA00029,,,2,,,
NA00030_route,GW,GW_NA00030,,,2,,,
NA00031_route,GW,GW_NA00031,,,2,,,
NA00032_route,GW,GW_NA00032,,,2,,,
NA00033_route,GW,GW_NA00033,,,2,,,
NA00034_route,GW,GW_NA00034,,,2,,,
NA00035_route,GW,GW_NA00035,,,2,,,
NA00036_route,GW,GW_NA00036,,,2,,,
NA00037_route,GW,GW_NA00037,,,2,,,
NA00038_route,GW,GW_NA00038,,,2,,,
NA00039_route,GW,GW_NA00039,,,2,,,
NA00040_route,GW,GW_NA00040,,,2,,,
NA00041_route,GW,GW_NA00041,,,2,,,
NA00042_route,GW,GW_NA00042,,,2,,,
NA00043_route,GW,GW_NA00043,,,2,,,
NA00044_route,GW,GW_NA00044,,,2,,,
NA00045_route,GW,GW_NA00045,,,2,,,
NA00046_route,GW,GW_NA00046,,,2,,,
NA00047_route,GW,GW_NA00047,,,2,,,
NA00048_route,GW,GW_NA00048,,,2,,,
NA00049_route,GW,GW_NA00049,,,2,,,
NA00050_route,GW,GW_NA00050,,,2,,,
NA00051_route,GW,GW_NA00051,,,2,,,
NA00052_route,GW,GW_NA00052,,,2,,,
NA00053_route,GW,GW_NA00053,,,2,,,
NA00054_route,GW,GW_NA00054,,,2,,,
NA00055_route,GW,GW_NA00055,,,2,,,
NA00056_route,GW,GW_NA00056,,,2,,,
NA00057_route,GW,GW_NA00057,,,2,,,
NA00058_route,GW,GW_NA00058,,,2,,,
NA00059_route,GW,GW_NA00059,,,2,,,
NA00060_route,GW,GW_NA00060,,,2,,,
NA00061_route,GW,GW_NA00061,,,2,,,
NA00062_route,GW,GW_NA00062,,,2,,,
NA00063_route,GW,GW_NA00063,,,2,,,
NA00064_route,GW,GW_NA00064,,,2,,,
NA00065_route,GW,GW_NA00065,,,2,,,
NA00066_route,GW,GW_NA00066,,,2,,,
NA00067_route,GW,GW_NA00067,,,2,,,
NA00068_route,GW,GW_NA00068,,,2,,,
NA00069_route,GW,GW_NA00069,,,2,,,
NA00070_route,GW,GW_NA00070,,,2,,,
NA00071_route,GW,GW_NA00071,,,2,,,
NA00072_route,GW,GW_NA00072,,,2,,,
NA00073_route,GW,GW_NA00073,,,2,,,
NA00074_route,GW,GW_NA00074,,,2,,,
NA00075_route,GW,GW_NA00075,,,2,,,
NA00076_route,GW,GW_NA00076,,,2,,,
NA00077_route,GW,GW_NA00077,,,2,,,
NA00078_route,GW,GW_NA00078,,,2,,,
NA00079_route,GW,GW_NA00079,,,2,,,
NA00080_route,GW,GW_NA00080,,,2,,,
