stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
101025,AAP,ALEXANDRA PALACE,190490.388,530264.6075,1,
101029,AAT,ACHANALT,861473.9571,226020.4163,1,
101110,ABA,ABERDARE,202738.9483,300485.1834,1,
101112,ABC,ALTNABREAC,945677.3704,300347.6311,1,
101113,ABD,ABERDEEN,805754.5836,394190.402,1,
101114,ABE,ABER,186939.1197,314871.1195,1,
101117,ABH,ABERERCH,336079.1223,240350.1551,1,
101132,ABW,ABBEY WOOD,179020.5348,547292.9103,1,
101133,ABX,ABBEY WOOD (CROSSRAIL),179037.1774,547290.7539,1,
101134,ABY,ASHBURYS,397252.2406,387138.345,1,
101211,ACB,ACTON BRIDGE,374536.6286,359893.6469,1,
101212,ACC,ACTON CENTRAL,180295.472,520656.3335,1,
101216,ACG,ACOCKS GREEN,283523.1794,412382.1078,1,
101217,ACH,ACHNASHELLACH,848436.7204,200271.3077,1,
101220,ACK,ACKLINGTON,601513.4162,422204.1162,1,
101221,ACL,ACLE,310003.2523,639910.7752,1,
101223,ACN,ACHNASHEEN,858522.1617,216411.0737,1,
101227,ACR,ACCRINGTON,428556.1397,375692.1597,1,
101229,ACT,ASCOT,168299.298,492134.2919,1,
101234,ACY,ABERCYNON,194646.7535,308091.8181,1,
101312,ADC,ADLINGTON (CHESHIRE),380319.0831,391194.5825,1,
101313,ADD,ADDERLEY PARK,287250.3554,409934.5047,1,
101320,ADK,ARDWICK,397174.8355,385956.4369,1,
101321,ADL,ADLINGTON (LANCASHIRE),413115.8819,360213.802,1,
101322,ADM,ADISHAM,153990.7609,623365.1789,1,
101323,ADN,ARDROSSAN TOWN,642069.4966,223079.5209,1,
101327,ADR,AIRDRIE,665210.6807,276041.4645,1,
101328,ADS,ARDROSSAN HARBOUR,642106.5529,222525.2762,1,
101331,ADV,ANDOVER,145939.2764,435527.0044,1,
101332,ADW,ADDIEWELL,662304.322,299513.9699,1,
101520,AFK,ASHFORD INTERNATIONAL,142165.2142,601215.9385,1,
101528,AFS,ASHFORD (MIDDLESEX),171945.5933,506563.2274,1,
101531,AFV,ANSDELL & FAIRHAVEN,427709.0573,334569.6743,1,
101621,AGL,ABERGELE & PENSARN,378682.7356,294609.9562,1,
101628,AGS,ARGYLE STREET,665003.9661,259225.8033,1,
101629,AGT,ALDRINGTON,105666.6754,528130.4719,1,
101631,AGV,ABERGAVENNY,213682.4822,330544.861,1,
101713,AHD,ASHTEAD,159005.8966,518052.4526,1,
101723,AHN,ASHTON-UNDER-LYNE,399391.1691,393890.5615,1,
101728,AHS,ASHURST,138774.4369,550723.2987,1,
101729,AHT,ALDERSHOT,150403.9222,486638.6636,1,
101731,AHV,ASH VALE,153352.1854,489272.9443,1,
101816,AIG,AIGBURTH,385693.799,338436.2087,1,
101823,AIN,AINTREE,397879.4462,336623.6332,1,
101827,AIR,AIRBLES,656143.2261,275017.618,1,
102111,ALB,ALBRIGHTON,304532.7839,381878.8871,1,
102113,ALD,ALDERLEY EDGE,378572.3052,384328.775,1,
102114,ALE,LIVERPOOL SOUTH PW HL,384952.2807,340942.7861,1,
102115,ALF,ALFRETON,356169.7891,442289.7419,1,
102120,ALK,ASLOCKTON,339920.1549,474108.3689,1,
102122,ALM,ALNMOUTH FOR ALNWICK,611041.8394,423106.5047,1,
102123,ALN,ALTHORNE,197912.6401,590478.9104,1,
102124,ALO,ALLOA,693126.3777,288874.6666,1,
102125,ALP,ALTHORPE,410630.4428,483974.9498,1,
102127,ALR,ALRESFORD (ESSEX),221513.8029,606497.4752,1,
102129,ALT,ALTRINCHAM,387924.5154,377013.0882,1,
102131,ALV,ALVECHURCH,272085.0809,402277.6709,1,
102132,ALW,ALLENS WEST,514550.5413,441414.4435,1,
102133,ALX,ALEXANDRIA,679920.7925,239310.7503,1,
102211,AMB,AMBERGATE,351589.2394,434888.8193,1,
102215,AMF,AMMANFORD,212653.2319,262392.282,1,
102221,AML,ACTON MAIN LINE,181205.7957,520275.459,1,
102227,AMR,AMERSHAM,198175.3378,496395.275,1,
102229,AMT,ALDERMASTON,167373.3833,460149.849,1,
102234,AMY,AMBERLEY,111809.3147,502636.2583,1,
102312,ANC,ANCASTER,344377.8484,498418.0866,1,
102313,AND,ANDERSTON,665280.2705,258012.7352,1,
102315,ANF,ASHURST NEW FOREST,110146.8277,433404.2039,1,
102316,ANG,ANGMERING,102974.3216,506602.3768,1,
102321,ANL,ANNIESLAND,668714.8675,254904.6029,1,
102323,ANN,ANNAN,566164.4756,319284.6402,1,
102328,ANS,AINSDALE,412204.6471,331101.5062,1,
102335,ANZ,ANERLEY,169949.2484,534625.0174,1,
102423,AON,ALTON,139689.0168,472336.9543,1,
102511,APB,APPLEY BRIDGE,409364.5423,352453.389,1,
102513,APD,APPLEDORE (KENT),129766.339,597582.2485,1,
102515,APF,APPLEFORD,193680.9321,452519.1516,1,
102516,APG,ASPLEY GUISE,236747.1595,493919.4418,1,
102525,APP,APPLEBY,520687.1765,368650.1451,1,
102528,APS,APSLEY,204856.6761,506241.6334,1,
102534,APY,APPERLEY BRIDGE,438461.6863,419372.0921,1,
102711,ARB,ARBROATH,740974.0554,363878.7327,1,
102713,ARD,ARDGAY,890459.5129,260022.9345,1,
102716,ARG,ARISAIG,786748.3423,166368.7518,1,
102721,ARL,ARLESEY,237796.5892,519035.6622,1,
102722,ARM,ARMADALE,667227.7092,294205.5122,1,
102723,ARN,ARNSIDE,478855.8469,346081.1975,1,
102727,ARR,ARRAM,444250.298,503533.8316,1,
102729,ART,ARROCHAR & TARBET,704522.7334,231173.7335,1,
102730,ARU,ARUNDEL,106394.8101,502436.7722,1,
102811,ASB,ARDROSSAN SOUTH BEACH,642181.9629,223837.9603,1,
102812,ASC,ASHCHURCH FOR TEWKESBURY,233403.6935,392632.0809,1,
102815,ASF,ASHFIELD,668474.5594,259473.9291,1,
102816,ASG,ALSAGER,355132.5537,380084.3616,1,
102817,ASH,ASH,150827.4314,489960.373,1,
102820,ASK,ASKAM,477709.9884,321497.1249,1,
102823,ASN,ADDLESTONE,164873.5819,505583.2622,1,
102825,ASP,ASPATRIA,541274.4214,314404.5582,1,
102828,ASS,ALNESS,869404.0526,265986.4727,1,
102829,AST,ASTON,289620.8878,408782.3344,1,
102834,ASY,ASHLEY,384369.9661,377371.4231,1,
102911,ATB,ATTENBOROUGH,334607.6473,451807.4603,1,
102917,ATH,ATHERSTONE,297937.6677,430437.8335,1,
102921,ATL,ATTLEBOROUGH,295018.5892,605168.1811,1,
102923,ATN,ATHERTON,403708.0867,368422.3894,1,
102929,ATT,ATTADALE,839063.4305,192464.1905,1,
103013,AUD,AUDLEY END,236304.2695,551595.3851,1,
103016,AUG,AUGHTON PARK,406765.9981,340784.6158,1,
103018,AUI,ARDLUI,715486.3794,231702.6714,1,
103020,AUK,AUCHINLECK,621957.0121,254959.845,1,
103027,AUR,ABERDOUR,685418.8453,319074.4532,1,
103032,AUW,ASCOTT-UNDER-WYCHWOOD,218854.2152,430119.7,1,
103115,AVF,AVONCLIFF,160090.2255,380463.854,1,
103122,AVM,AVIEMORE,812313.1544,289564.5046,1,
103123,AVN,AVONMOUTH,178096.6054,351585.2303,1,
103125,AVP,AYLESBURY VALE PARKWAY,215354.7771,478665.0021,1,
103134,AVY,ABERDOVEY,296042.3306,260652.1432,1,
103220,AWK,ADWICK,408698.7412,454397.3835,1,
103222,AWM,ASHWELL & MORDEN,238598.6754,529761.3451,1,
103229,AWT,ARMATHWAITE,546336.8231,350474.3788,1,
103322,AXM,AXMINSTER,98196.0709,329243.9331,1,
103325,AXP,ALEXANDRA PARADE,665557.9451,261750.1481,1,
103417,AYH,AYLESHAM,152476.3607,624190.7946,1,
103421,AYL,AYLESFORD,158710.146,571988.0374,1,
103425,AYP,ALBANY PARK,172852.9826,547871.0821,1,
103427,AYR,AYR,621400.9009,234068.6586,1,
103428,AYS,AYLESBURY,213419.6833,481833.6718,1,
103432,AYW,ABERYSTWYTH,281582.696,258523.0886,1,
111010,BAA,BARNHAM,104348.5401,495860.3914,1,
111011,BAB,BALCOMBE,130123.2506,530662.9028,1,
111012,BAC,BACHE,368281.7297,340562.6747,1,
111013,BAD,BANSTEAD,160440.5305,524548.7096,1,
111016,BAG,BAGSHOT,163623.6145,491402.0668,1,
111017,BAH,BANK HALL,393918.5689,334461.3694,1,
111018,BAI,BLAIRHILL,665578.0796,272214.5372,1,
111019,BAJ,BAGLAN,192160.9175,274819.2404,1,
111020,BAK,BATTERSEA PARK,177032.4094,528739.6193,1,
111021,BAL,BALHAM,173157.8334,528569.3429,1,
111022,BAM,BAMFORD,382514.4334,420778.5835,1,
111023,BAN,BANBURY,240456.6796,446185.5371,1,
111027,BAR,BARE LANE,464625.7114,345462.9742,1,
111028,BAS,BERE ALSTON,67399.9871,243991.8267,1,
111029,BAT,BATTLE,115572.9605,575487.1835,1,
111030,BAU,BARTON-ON-HUMBER,422515.7218,502909.0487,1,
111031,BAV,BARROW HAVEN,423534.0458,506204.2823,1,
111032,BAW,BLACKWATER,159873.3833,485317.5855,1,
111034,BAY,BAYFORD,208294.5134,531528.3589,1,
111116,BBG,BISHOPBRIGGS,670108.9988,261029.3894,1,
111120,BBK,BILBROOK,302927.8359,387417.6541,1,
111121,BBL,BAT & BALL,156839.3037,553095.5982,1,
111123,BBN,BLACKBURN,427884.4098,368502.3155,1,
111132,BBW,BERRY BROW,413853.7273,413750.8349,1,
111211,BCB,BURSCOUGH BRIDGE,412425.4668,344406.1064,1,
111212,BCC,BECCLES,290534.4245,642607.7123,1,
111214,BCE,BRACKNELL,168958.916,486871.6609,1,
111215,BCF,BEACONSFIELD,191157.7909,494019.6084,1,
111216,BCG,BIRCHGROVE,180975.081,316686.2847,1,
111217,BCH,BIRCHINGTON-ON-SEA,169443.7048,629813.8473,1,
111219,BCJ,BURSCOUGH JUNCTION,411548.664,344469.8673,1,
111220,BCK,BUCKLEY,363343.7849,329548.6821,1,
111223,BCN,BRANCHTON,675492.5574,225008.6122,1,
111228,BCS,BICESTER NORTH,223110.6102,458579.384,1,
111230,BCU,BROCKENHURST,101997.6828,430148.6255,1,
111231,BCV,BRUCE GROVE,190082.467,533785.752,1,
111234,BCY,BROCKLEY,175787.0752,536418.9948,1,
111310,BDA,BRUNDALL,307984.2707,632859.5821,1,
111311,BDB,BROADBOTTOM,393781.8567,399012.832,1,
111316,BDG,BRIDGETON,663918.8617,260807.2398,1,
111317,BDH,BEDHAMPTON,106531.868,470749.7478,1,
111318,BDI,BRADFORD INTERCHANGE,432715.6172,416625.229,1,
111320,BDK,BALDOCK,234275.3318,524539.8107,1,
111321,BDL,BIRKDALE,415741.4255,333006.7466,1,
111322,BDM,BEDFORD,249743.2456,504147.3827,1,
111323,BDN,BRADING,86869.2157,460956.6933,1,
111326,BDQ,BRADFORD FORSTER SQUARE,433487.3347,416355.1327,1,
111328,BDS,BOND STREET,181015.1148,528580.2205,1,
111329,BDT,BRIDLINGTON,466847.0693,517822.3287,1,
111332,BDW,BEDWYN,164577.2776,428013.8173,1,
111334,BDY,BREDBURY,391810.3168,392754.728,1,
111410,BEA,BRIDGE OF ALLAN,697732.622,278526.8007,1,
111411,BEB,BEBINGTON,385000.4871,333337.8367,1,
