route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
NC00957220516221209 _route,NC00957220516221209 _service,NC00957220516221209 _trip,,,,
NC00960220516221209 _route,NC00960220516221209 _service,NC00960220516221209 _trip,,,,
NC00961220516221209 _route,NC00961220516221209 _service,NC00961220516221209 _trip,,,,
NC00965220516221104 _route,NC00965220516221104 _service,NC00965220516221104 _trip,,,,
NC00973220516221104 _route,NC00973220516221104 _service,NC00973220516221104 _trip,,,,
NC00981220516221104 _route,NC00981220516221104 _service,NC00981220516221104 _trip,,,,
NC00989220516221104 _route,NC00989220516221104 _service,NC00989220516221104 _trip,,,,
NC00995220516221104 _route,NC00995220516221104 _service,NC00995220516221104 _trip,,,,
NC01001220516221104 _route,NC01001220516221104 _service,NC01001220516221104 _trip,,,,
NC01008220516221104 _route,NC01008220516221104 _service,NC01008220516221104 _trip,,,,
NC01009220516221104 _route,NC01009220516221104 _service,NC01009220516221104 _trip,,,,
NC01015220516221209 _route,NC01015220516221209 _service,NC01015220516221209 _trip,,,,
NC01017220516221209 _route,NC01017220516221209 _service,NC01017220516221209 _trip,,,,
NC01020220516221209 _route,NC01020220516221209 _service,NC01020220516221209 _trip,,,,
NC01022220516221209 _route,NC01022220516221209 _service,NC01022220516221209 _trip,,,,
NC01025220516221209 _route,NC01025220516221209 _service,NC01025220516221209 _trip,,,,
NC01027220516221209 _route,NC01027220516221209 _service,NC01027220516221209 _trip,,,,
NC01030220516221209 _route,NC01030220516221209 _service,NC01030220516221209 _trip,,,,
NC01033220516221209 _route,NC01033220516221209 _service,NC01033220516221209 _trip,,,,
NC01037220516221209 _route,NC01037220516221209 _service,NC01037220516221209 _trip,,,,
NC28756220516221007 _route,NC28756220516221007 _service,NC28756220516221007 _trip,,,,
NC28757220516221208 _route,NC28757220516221208 _service,NC28757220516221208 _trip,,,,
NC28758220516221209 _route,NC28758220516221209 _service,NC28758220516221209 _trip,,,,
NC28759220516221007 _route,NC28759220516221007 _service,NC28759220516221007 _trip,,,,
NC28760220516221209 _route,NC28760220516221209 _service,NC28760220516221209 _trip,,,,
NC28761220516221209 _route,NC28761220516221209 _service,NC28761220516221209 _trip,,,,
NC28762220516221209 _route,NC28762220516221209 _service,NC28762220516221209 _trip,,,,
NC28763220516221209 _route,NC28763220516221209 _service,NC28763220516221209 _trip,,,,
NC28772220516221209 _route,NC28772220516221209 _service,NC28772220516221209 _trip,,,,
NC30138220516221209 _route,NC30138220516221209 _service,NC30138220516221209 _trip,,,,
